,Unnamed: 0,Sentence,Schema,Schema Slot,Negative Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
138,138,Poverty Alleviation,01 Health and Safety,Threat,Change,poverty,,alleviation,Poverty,Poverty,Alleviation,Disease/Medicine,2646956,,
1752,1752,"Geezus, I don't have a gun control bone in my body but this is way over the top",14 Embodied Experience: Human Body,Body Part,Entity,gun control,[body part] bone,bone,gun control,Control of Guns,bone,Human Body,,,
936,936,They come to Kansas City to work together to develop skills essential in overcoming poverty in their communities.,03 Conflict,Side,Parent,poverty,,overcoming,poverty,Poverty,overcoming,Struggle,128192,,
587,587,[171] The court went on to cite Cases approvingly for the following proposition: [T]he claimant of Second Amendment protection must prove that his or her possession of the weapon was reasonably related to a well regulated militia....,03 Conflict,Aid,Weather Type,Second Amendment,,protection,Second Amendment,Gun Rights,protection,Protection,2993161,,
81,81,"So taxation relieves the deficit, and only makes insignificant interest payments on the debt owed to the Federal Reserve.",01 Health and Safety,Protection,Body of Water,taxation,,relieves,taxation,Taxation,relieves,Physical Burden,158601,,
1263,1263,"In Costa Rica in May 1997, President Arzu met with President Clinton and his counterparts from Central America, Belize, and the Dominican Republic to celebrate the remarkable democratic transformation in the region and reaffirm support for strengthening democracy, good governance, and promoting prosperity through economic integration, free trade, and investment.",05 Engineering and Business: Engineering,Built,Winner,democracy,,strengthening,democracy,Democracy,strengthening,Building/Strength,2550833,,
916,916,"And the ILO has a tremendous interest in microcredit precisely because fighting poverty is at the heart of our mandate"", said Somavia.",03 Conflict,Side,Movement,poverty,,fighting,poverty,Poverty,fighting,Struggle,2001107,,
873,873,The US kills democracy and kisses dictators!,03 Conflict,Side,Scale,democracy,,kills,democracy,Democracy,kills,Physical Harm,1832069,,
346,346,GUN SAFES are designed to guard your guns against theft when you are NOT PRESENT.,01 Health and Safety,Threatened,Posture,guns,,guard,guns,Guns,guard,Protection,2669106,,
1544,1544,"We think states are the 'laboratory of democracy' that can be on the front line of helping develop policies, being able to solve some of our nation's most pressing issues, whether it involves economic growth, job creation, health care, education, focusing on government waste and many other issues, Fallin said.",07 Systematic Explanations,Scientist,Laboratory,democracy,laboratory of [scientist],laboratory,democracy,Democracy,laboratory,Science,1971799,,
1248,1248,"By harnessing input and expertise from a wide array of voices, we can continue to strengthen government.",05 Engineering and Business: Engineering,Built,Property,government,,strengthen,government,Government,strengthen,Building/Strength,3120554,,
724,724,"On the other side of the paradox, more people keeping and bearing arms means there's a larger constituency to fight new gun control, so I'm not certain it really helps our opponents any.",03 Conflict,Enemy,Warming,gun control,,fight,gun control,Control of Guns,fight,Struggle,2875474,,
480,480,Gun-control hinders the ability of individuals to defend themselves and makes criminals out of people who aren't criminals.,02 Journey,Barrier,Enemy/Side,Gun-control,,hinders,Gun-control,Control of Guns,hinders,Confinement,2377017,,
119,119,This does not permit an escape of taxation because the reserve is not an asset but a debt.,01 Health and Safety,Threat,Business,taxation,,escape,taxation,Taxation,escape,Confinement,158935,,
945,945,Congress and the public now attack gun owners for a failure in the reporting system!,03 Conflict,Side,Cooling,gun owners,,attack,gun owners,Guns,attack,Struggle/War,2908007,,
523,523,"But some pro-gun legislation, including the sweeping ""guns everywhere"" bill that was signed into law earlier this year by Georgia's Republican Gov. Nathan Deal, has advanced in recent months.",02 Journey,Change,God,pro-gun legislation,,advanced,pro-gun legislation,Gun Rights,advanced,Forward Movement,3760794,,
1641,1641,Mountains of Money,12 High and Low,Level,Change Type,HIGH,,mountains,Money,Wealth,Mountains,Hazardous Geographic Feature,2646299,,
1608,1608,The 113th Congress is a beacon of hope for women like me who have been waiting for stronger representation in government for years now.,11 Darkness and Light,Entity,Built,Congress,,beacon,Congress,Government,beacon,Light,761467,,
69,69,"That's because higher taxes relieve the pressure to solve the spending problem, making the later solution even more expensive for taxpayers.",01 Health and Safety,Protection,Failed Experiment,taxes,,relieve,taxes,Taxation,relieve,Medicine,3121696,,
261,261,"Our scientist, after fighting off an invasion of red tape, puts together his ideas into a product which looks like a completed puzzle from one angle.",01 Health and Safety,Threat,Extractor,red tape,,invasion,red tape,Bureaucracy,invasion,War,152479,,
1085,1085,"Indeed Buchanan goes further than liberals ever did, attacking what he calls ""the Democratist temptation, the worship of democracy"" as ""a false god.""",04 Power and Control: God,God,Clothing,democracy,,worship,democracy,Democracy,worship,A God,155939,,
1457,1457,The problem is that gun control believes it will be safe if it disarms the victims of crime as there is no hope of disarming criminals.,06 Morality and Justice,Enforcer,Weather,gun control,,,gun control,Control of Guns,believes,A Right,,,
567,567,Your claim gun control reduces homicide.,03 Conflict,Aid,Vehicle,gun control,,reduces,gun control,Control of Guns,reduces,Downward Movement,2175860,,
20,20,"It’s a huge bureaucratic parasite that feeds directly from the veins of young people – outrageously over-charging them for insurance products they don’t want, to pay off other constituencies, and feed the growing army of government employees.",01 Health and Safety,Beneficial,Right,veins,,,bureaucratic,Bureaucracy,parasite,Parasite,762344,,
1062,1062,The fact that the gun is a reverenced god can be seen in its manifold and apparently resistless powers.,04 Power and Control: God,God,Weather,gun,,god,gun,Guns,god,A God,2376878,,
1370,1370,"Now that Virginia has decided to ration gun rights to one handgun per month, should West Virginia follow suit?",05 Engineering and Business: Resource,Resource,Weather,gun rights,ration [resource],ration,gun rights,Gun Rights,ration,Resource,2378710,,
222,222,Perhaps our wealth harms us by skewing our perception of reality- causing us to lose touch with the normal needs of others less fortunate than us.,01 Health and Safety,Threat,Farmer/Gardener,wealth,,harms,wealth,Wealth,harms,Physical Harm,1973864,,
710,710,Archbishop unveils plans for London event to challenge global governments to reach targets on tackling poverty,03 Conflict,Enemy,Scale,poverty,,tackling,poverty,Poverty,tackling,Game,2096704,,
935,935,It works with governments to develop and finance programmes and projects that enable poor rural people to improve their livelihoods sustainably and overcome poverty themselves.,03 Conflict,Side,Parent,poverty,,overcome,poverty,Poverty,overcome,Struggle,120246,,
260,260,They have been able to obtain a level of defense from the assault of poverty and have helped others along their way.,01 Health and Safety,Threat,Right,poverty,,assault,poverty,Poverty,assault,War,1971374,,
545,545,"That puts us that much further ahead in our wealth journey because he's got the experience, he's got great staff and he knows all the geography.",02 Journey,Goal,Clothing,wealth,,journey,wealth,Wealth,journey,Journey,3122882,,
1522,1522,A disgraced former Newfoundland and Labrador cabinet minister pleaded guilty Friday to charges that included defrauding taxpayers of money paid through his legislative allowance. more »,06 Morality and Justice,Victim,Body Part,taxpayers,,defrauding,taxpayers,Taxation,defrauding,Theft,1957909,,
1682,1682,Hastily-passed omnibus appropriations bills are perhaps the apex of expeditious lawmaking.,12 High and Low,Scale,Wild Animal,lawmaking,,apex,lawmaking,Government,apex,High Location,1970994,,
369,369,It's a crime people don't care about their rights and prefer to protect their guns or buy more instead.,01 Health and Safety,Threatened,Product,guns,,protect,guns,Guns,protect,Protection,2673125,,
1298,1298,The Clinton administration claims democracy is a cornerstone of U.S. policy.,05 Engineering and Business: Engineering,Component,Agent,democracy,,cornerstone,democracy,Democracy,cornerstone,Building,760930,,
1507,1507,We've seen that gun bans are wholly ineffectual and that extreme gun control victimizes the people it's designed to protect.,06 Morality and Justice,Victim,Leader,the people,victimizes [victim],victimizes,gun control,Control of Guns,victimizes,Crime,2377042,,
507,507,"Nowhere in his comments did I see a statement about the importance of a republican form of governments to restrain governments, to protect individual liberties, or to encourage economic prosperity.",02 Journey,Barrier,Crime,republican form of governments,,restrain,governments,Bureaucracy,restrain,Physical Harm,158975,,
1331,1331,Each one of those laws adds some gun control that can be built on.,05 Engineering and Business: Resource,Change Type,Body Part,INCREASE,,adds some,gun control,Control of Guns,adds,Resource,2171291,,
1485,1485,"On the other hand, in 2000 Jeb Bush stole the election in Florida for his brother, and moved the most conservative and militaristic administration ever.",06 Morality and Justice,Property,Body Part,election,,stole,election,Elections,stole,Theft,1998769,,
87,87,"So that from this it may appear how much he sins in the Church, who, preferring himself and his children to Christ, preserves his wealth, and does not share an abundant estate with the poverty of the needy.",01 Health and Safety,Protection,Servant,wealth,,preserves,wealth,Wealth,preserves,Protection,135214,,
380,380,"The Supreme Court in 2008 ruled, in a case that overturned the District of Columbia's handgun ban, that the Constitution protects individual gun rights.",01 Health and Safety,Threatened,Experiment,gun rights,,protects,gun rights,Gun Rights,protects,Protection,2426057,,
1178,1178,"Poverty sells children for a loaf of bread and locks them up in dark, skanky rooms to be raped 40 times a day by pedophiles as a result of sex trafficking.",05 Engineering and Business: Business,Business,Scientist,Poverty,,sells,Poverty,Poverty,sells,Business,159349,,
1119,1119,For a Republic that seems to idolize Democracy our work places remain almost consistently autocratic.,04 Power and Control: God,Worshipper,Degree,a Republic,[worshipper] idolize,idolize,Democracy,Democracy,idolize,A God,760277,,
1130,1130,Instead we watch gun control command the media filling every mind in the world with its hatred and fear of guns.,04 Power and Control: Human,Leader,Product,gun control,[leader] command,command,gun control,Control of Guns,command,Enslavement,,,
872,872,Killing Poverty Has the corruption in Kenya lessened under its new president?,03 Conflict,Side,Clothing,Poverty,,Killing,Poverty,Poverty,Killing,Physical Harm,1999909,,
503,503,Looks like we are bound to learn the hard way what happens when uncontrollable government burdens its citizens past the breaking point.,02 Journey,Barrier,Relationship,government,,burdens,government,Government,burdens,Physical Burden,152689,,
658,658,We have been fighting the gun control battle for 80 years.,03 Conflict,Conflict,Barrier,gun control,,battle,gun control,Control of Guns,battle,Struggle/War,2104720,,
723,723,Firearm owners seem to be convinced the way to fight gun control is to instil some sort of appreciation for guns.,03 Conflict,Enemy,Facilitator,gun control,,fight,gun control,Control of Guns,fight,Struggle,2673306,,
940,940,3. a terroristic method of governing or of resisting a government.,03 Conflict,Side,Agent,government,,resisting,government,Government,resisting,Struggle,2132576,,
1535,1535,"A patriarchal, tribal society, Yemen has experimented with democracy for several years even as it contends with elements sympathetic to terrorism.",07 Systematic Explanations,Experiment,Entity Age,democracy,experimented with [experiment],experimented,democracy,Democracy,experimented,Science,762196,,
1326,1326,rolling taking turns on two wheels while the LAPD Bureaucracy greases the wheels with epoxy and the FBI plays catch-up to Harry Bosch's unwavering mental march to the truth despite the pushes and pulls on the ride. I had to suspend belief through a few technical,05 Engineering and Business: Engineering,Facilitator,Change,the LAPD Bureaucracy,[facilitator] greases the wheels,greases the wheels,Bureaucracy,Bureaucracy,greases the wheels,Machine,1973624,,
978,978,The news came after the Bank of England cut interest rates to a record low of 1.5 percent on Thursday as it and the government battle to prevent Britain falling further into a recession that has cost thousands of jobs.,03 Conflict,Side,Failed Experiment,government,,battle,government,Government,battle,War,2082785,,
421,421,He is working with CIRA on a statewide effort to attack poverty with sustainability initiatives.,01 Health and Safety,Threatened,Clothing,poverty,,attack,poverty,Poverty,attack,War,3023943,,
514,514,"For some, the news was received as the liberation of the Legislature:",02 Journey,Change,Size,Legislature,,liberation,Legislature,Government,liberation,Confinement,761307,,
1101,1101,"Never mind that democracy is another name for mob rule, a tyranny of the majority, but this shallow ideology worships elections at the expense of reason and consequences.",04 Power and Control: God,God,Crime,elections,,worships,elections,Elections,worships,A God,2377484,,
328,328,Epidemic: Guns kill twice as many kids as cancer does,01 Health and Safety,Threatened,Threat,kids,kill [threatened],kill,Guns,Guns,kill,Physical Harm,,,
292,292,Civil nations must unanimously oppose a rough nation whose President openly declares his intention to destroy the only democracy of Middle East.,01 Health and Safety,Threatened,Punished,democracy,,destroy,democracy,Democracy,destroy,Natural Physical Force,2664153,,
1359,1359,Then the sales tax would generate $12 billion in annual tax revenues.,05 Engineering and Business: Resource,Extractor,Change,sales tax,,generate,sales tax,Taxation,generate,Machine,2862877,,
308,308,"I'm beginning to think that the US Constitution does not protect gun owners from landlords who ban guns on their premises, even though ""their premises"" is your private domicile.",01 Health and Safety,Threatened,Leader,Gun owners,,protect,gun owners,Guns,protect,Natural Physical Force/Protection,2909769,,
808,808,CNN exit polls indicated that the economy was rated first (52% of voters) as the most important issue facing the country; gun control scored zero.,03 Conflict,Loser,Worshipper,gun control,,scored,gun control,Control of Guns,scored,Competition/Game,2620518,,
430,430,It also witnessed the evolution of the Senate from agent of compromise to an elite club of powerful committee chairmen.,02 Journey,Agent,Size,Senate,,evolution,Senate,Government,evolution,Animal/Plant/Science,1973602,,
1646,1646,"The question of voting for the ""lesser of two evils"" was addressed, as well as the myth of elections being the zenith of democracy.",12 High and Low,Level,Victim,HIGH,,zenith,democracy,Democracy,zenith,High Location,156107,,
429,429,"I am therefore hijacking the terminology again, and declaring America on the edge of a gun control cliff.",02 Journey,Agent,Right,America,,,gun control,Control of Guns,cliff,Abyss,2377544,,
987,987,I use that loosely as there is no real strategy or objective for firearm owners in fighting gun control.,03 Conflict,Side,Domesticated Animal,gun control,fighting [side],fighting,gun control,Control of Guns,fighting,War,2174239,,
831,831,"Environmental activists have challenged the government on hydroelectric and other infrastructure projects, intellectuals have submitted petitions criticizing authoritarian policies, and rural farmers are forming associations to protect their collective interests.",03 Conflict,Side,Goal,government,,challenged,government,Government,challenged,Competition,2665393,,
696,696,"Benazir Bhutto may have been killed by terrorists, but the terrorists must not be allowed to kill democracy in Pakistan, said British Prime Minister Gordon Brown.",03 Conflict,Enemy,Entity Age,democracy,,kill,democracy,Democracy,kill,Animal,2659623,,
217,217,"More than 90 percent of the guns recovered in Mexico come from the United States, Obama claimed last week, repeating a favorite factoid of politicians who believe American gun rights endanger our southern neighbor's security.",01 Health and Safety,Threat,Facilitator,gun rights,,endanger,gun rights,Gun Rights,endanger,Physical Harm,2378662,,
141,141,"That led to Kaine proposals on property tax relief, on spending more money on education, and to respond to their complaints about growth and traffic.",01 Health and Safety,Threat,Light Level,property tax,,relief,property tax,Taxation,relief,Disease/Physical Burden,56948,,
1205,1205,We mostly play with paper; we make records in triplicate then duplicate them; we occupy ourselves making work and obstructing those who produce wealth.,05 Engineering and Business: Business,Product,Business,wealth,,produce,wealth,Wealth,produce,Factory,3043777,,
99,99,Anyone can call their personal insanity a religion in order to try to get government protection.,01 Health and Safety,Protection,Failed Experiment,government,,protection,government,Government,protection,Protection,2457555,,
768,768,"According to the free market ideology, the best way to fight global hunger and improve the economic situation of farmers in developing countries is through trade and investment liberalization, production for export, and cuts in domestic support.",03 Conflict,Enemy,Right,hunger,,fight,hunger,Poverty,fight,Struggle/War,1802298,,
1579,1579,"The birth of Gun Control dates back to the control of the just freed slaves, just as the Ku Klux Klan was designed to control blacks in the south.",10 Human Life Cycle and Family Relations,Entity,Scientist,Gun Control,birth of [entity],birth of,Gun Control,Control of Guns,birth,Life Stage,2377605,,
1706,1706,A long standing big fish in the anti-gun pond -- and almost always a very outspoken one.,13 Nature: Body of Water,Size,Victim,SMALL,[body of water] pond,pond,anti-gun,Control of Guns,pond,Body of Water,2376962,,
519,519,If that were true gun control would be decreasing and the number of gun control laws would be decreasing.,02 Journey,Change,Relationship,gun control,,decreasing,gun control,Control of Guns,decreasing,Downward Movement,2669017,,
771,771,The sad news is with the exception of very few no firearm organisation is doing anything of the slightest value in fighting gun control.,03 Conflict,Enemy,Domesticated Animal,gun control,fighting [enemy],fighting,gun control,Control of Guns,fighting,Struggle/War,2171301,,
1730,1730,"I don't like violence and shudder everytime I hear of violence being enacted, but if someone is robbing your or extorting you, whether it is cloaked in a uniform of government or not, it is your right to defend yourself.",14 Embodied Experience: Clothing,Body,Wild Animal,violence,[body] is cloaked,is cloaked,government,Government,uniform,Clothing,762622,,
27,27,For those who think high taxes cure pothole problems I have one word -- Omaha.,01 Health and Safety,Protection,Change,taxes,,cure,taxes,Taxation,cure,Disease,158745,,
1362,1362,"You are now charged with a felony and if the charges stick in court, your gun rights evaporate.",05 Engineering and Business: Resource,Resource,Vehicle,gun rights,[resource] evaporate,evaporate,gun rights,Gun Rights,evaporate,Body of Water,2376959,,
115,115,"Gun control addicts don't foresee that if firearms are completely banned, only criminals will have them.",01 Health and Safety,Threat,Component,Gun control,,addicts,Gun control,Control of Guns,addicts,Addiction,2144956,,
533,533,This does not permit an escape of taxation because the reserve is not an asset but a debt.,02 Journey,Change Type,Scientist,taxation,,escape,taxation,Taxation,escape,Confinement,158935,,
1318,1318,The whole corrupt and rotten structure of gun control must be toppled.,05 Engineering and Business: Engineering,Destruction Potential,Child,DESIRE,,must be toppled,gun control,Control of Guns,structure,Building,2376977,,
1622,1622,Compare that to the U.S. where both jobs and disposable income are declining.,12 High and Low,Agent,Built,disposable income,[agent] are declining,declining,disposable income,Wealth,declining,Downward Movement,2659115,,
427,427,An invasion of wealth may not suit their interests.,01 Health and Safety,Threatened,Rain,wealth,,invasion,wealth,Wealth,invasion,War,2378567,,
1223,1223,"alone, regardless of viewership, is enough to create this deliberate democracy?Is Baym too optimistic in making a claim about the role that these programs serve to facilitate democratic discourse?",05 Engineering and Business: Engineering,Built,Threat,democracy,,create,democracy,Democracy,create,Building,155878,,
517,517,"Although poverty has decreased since 1970s, even today 39% of the population lives below poverty line and finds it difficult to meet its basic survival needs.",02 Journey,Change,Laboratory,poverty,,decreased,poverty,Poverty,decreased,Downward Movement,2671693,,
1166,1166,"A gun wouldn't have helped this man unless he was psychotic, though.",04 Power and Control: Human,Servant,Destruction Potential,gun,,helped,gun,Guns,helped,Servant,2669131,,
938,938,I think it is the T's who will resist any tax reform that generates more revenue and any budget cuts to the military.,03 Conflict,Side,Facilitator,tax reform,,resist,tax reform,Taxation,resist,Struggle,2726344,,
1501,1501,A subcommission of the United Nations Human Rights Council (HRC) has declared that there is no human right to personal self-defense and that extremely strict gun control is a human right which all governments are required to enforce immediately.,06 Morality and Justice,Right,Undesirable Plant,extremely strict gun control,[right] is a human right,human right,gun control,Control of Guns,human right,A Right,,,
1525,1525,"Passage of Amendment 2 has robbed the legislature of the ability to make distinctions between life science research that is ethically acceptable, such as research with adult stem cells, and unethical experiments that involve human cloning or the destruction of human embryos.",06 Morality and Justice,Victim,Threat,legislature,,robbed,legislature,Bureaucracy/Government,robbed,Theft,746070,,
1747,1747,America isn't doing enough in the eyes of gun control.,14 Embodied Experience: Human Body,Body,Resource,gun control,eyes of [body],eyes of,gun control,Control of Guns,eyes,Human Body,,,
1390,1390,When gun control is a felony,06 Morality and Justice,Crime,Undesirable Plant,gun control,,felony,gun control,Control of Guns,felony,Crime,2662127,,
361,361,"be part of all public polling and public discussion going forward.</p> <p>In Pew's question, respondents are asked, ""Which is more important, to control gun ownership, or protect gun rights?"", as if controlling gun ownership is its own goal",01 Health and Safety,Threatened,Punished,gun rights,,protect,gun rights,Gun Rights,protect,Protection,2427952,,
1720,1720,"For those owners that already are educated in the regulations (AKA pilots/owners) and understand what it takes to maintain and fly a safe aircraft, this new regulation would be a breeze.",13 Nature: Weather,Weather,Wild Animal,regulation,[weather] be a breeze,breeze,regulation,Bureaucracy,breeze,Natural Physical Force,,,
1558,1558,The basis under which Congress propagates copyright law is laid out in the U.S. Constitution which gives Congress the authority:,08 Plants,Farmer/Gardener,Failed Experiment,Congress,[farmer/gardener] propagates,propagates,Congress,Government,propagates,Crop/Plant,1973571,,
1322,1322,"Several states under Democratic leadership have strengthened state gun laws since the massacre of 6- and 7-year-olds at Sandy Hook Elementary School in Newtown, Conn., in December, including New York, Colorado, Maryland and Connecticut.",05 Engineering and Business: Engineering,Engineer,Extractor,Several states under Democratic leadership,[engineer] have strengthened,strengthened,gun laws,Control of Guns,strengthened,Building/Strength,2669165,,
1265,1265,"The purpose of the humanitarian reconstruction and security assistance pledged last summer and the additional funds pledged at last month's Lebanon Donors' Conference in Paris, the press release notes, is ""to help all the Lebanese people rebuild their lives and country, while strengthening Lebanon's sovereign, democratic government and helping to ensure lasting peace.""",05 Engineering and Business: Engineering,Built,Parent,democratic government,,strengthening,democratic government,Democracy/Government,strengthening,Building/Strength,2409794,,
1663,1663,"Obviously slavery is wrong, which is why we need to seriously reconsider our current depth of taxation.",12 High and Low,Scale,Agent,taxation,,depth,taxation,Taxation,depth,Abyss,2377499,,
422,422,"They attack ""rich people"" while enjoying all the spoils of their luck, I have zero problems with earned wealth, but these clowns literally lucked out in life.",01 Health and Safety,Threatened,Parent,rich people,,attack,rich people,Wealth,attack,War,2110177,,
1614,1614,"Infinite Wealth illuminates our environment, allowing us to clearly see the big picture and how the individual pieces of today's activity fit into a coherent new worldview, thus making sense of today's chaos.",11 Darkness and Light,Entity,Undesirable Plant,Wealth,,illuminates,Wealth,Wealth,illuminates,Light,2378274,,
408,408,Logical fallacy of the Left: You can't stop gun violence by attacking guns,01 Health and Safety,Threatened,Body Part,guns,,attacking,guns,Guns,attacking,Struggle/War,2461038,,
65,65,Just because a kid's stupid and irresponsible enough to steal a gun doesn't make law abiding gun owners forced to swallow your gun control pill.Ã¯»ØŸ,01 Health and Safety,Protection,Vehicle,gun control,,pill,gun control,Control of Guns,pill,Medicine,3123500,,
1759,1759,This has gone through the heart of the bureaucracy and emerged as policy.,14 Embodied Experience: Human Body,Part Type,Change Type,HEART,,heart,bureaucracy,Bureaucracy,heart,Human Body,152509,,
699,699,"That is not anti gun victory, now, do we capitalize on the spineless nature of our reps, or do we let them regroup?",03 Conflict,Enemy,Body,our reps,,,gun,Guns,victory,Competition,,,
1729,1729,"Using such decidedly “business-model” jargon, we feel, detracts from our noble and altruistic mission to educate, empower and develop informed citizens who will carry the mantle of American democracy for future generations.",14 Embodied Experience: Clothing,Body,Experiment,informed citizens,[body] will carry the mantle,will carry the mantle,democracy,Democracy,mantle,Clothing,3021862,,
1353,1353,Social Welfare Taxation generates social welfare.,05 Engineering and Business: Resource,Extractor,Entity Age,taxation,,generates,Taxation,Taxation,generates,Energy/Machine,2007211,,
983,983,They are valued partners in an effort to combat hunger in America.,03 Conflict,Side,Failed Experiment,hunger,,combat,hunger,Poverty,combat,War,1760052,,
894,894,Best they learn how to fight gun control.,03 Conflict,Side,Punished,gun control,fight [side],fight,gun control,Control of Guns,fight,Struggle,,,
287,287,"Heinous allegations of abuse were charged against some tasked with caring for the most helpless, education proponents couldn't agree on the best way to teach local students, and the death of a bureaucracy left City officials scrambling to preserve their ability to spruce up the downtown.",01 Health and Safety,Threatened,Cold,bureaucracy,,death,bureaucracy,Bureaucracy,death,Life Stage,3119749,,
31,31,To think that gun control cures anything is pure nonsense.,01 Health and Safety,Protection,Engineer,gun control,,cures,gun control,Control of Guns,cures,Disease,2377058,,
576,576,"A disturbing and noticeable trend among gun fondlers is before the victim's blood is even dry they rush out to publically declare their solidarity with the NRA and declare that ""their"" gun rights 'trump' the victim's right to live.",03 Conflict,Aid,Punished,gun rights,[aid] trump,trump,gun rights,Gun Rights,trump,Game,2148743,,
1552,1552,The basis under which Congress propagates copyright law is laid out in the U.S. Constitution which gives Congress the authority:,08 Plants,Beneficial Plant,Agent,copyright law,propagates [beneficial plant],propagates,Congress,Government,propagates,Crop/Plant,1973571,,
85,85,"The 2011 Civic Mission of Schools report, ""The Guardian of Democracy,"" raises major concern surrounding diminished civic learning in the United States and outlines six proven practices that can help restore the civic mission of schools.",01 Health and Safety,Protection,Winner,Democracy,,Guardian,Democracy,Democracy,Guardian,Protection,3118384,,
767,767,I live for the day when there is a website that shows what organisations are doing to fight gun control.,03 Conflict,Enemy,Scale,gun control,,fight,gun control,Control of Guns,fight,Struggle/War,2672779,,
999,999,9th Circuit procedural triumph a win for 2nd Amendment in San Diego,03 Conflict,Winner,God,2nd Amendment,,win,2nd Amendment,Gun Rights,win,Competition/Game,3774255,,
1185,1185,The 1913 income tax produced a degree of chaos because of the haste with which it was introduced and the lack of guidance offered to those preparing returns.,05 Engineering and Business: Business,Business,Parent,income tax,,produced,income tax,Taxation,produced,Factory,118264,,
250,250,"More productive pursuits become the casualties of taxation, which then reinforces the bias in favour of land speculation.",01 Health and Safety,Threat,Engineer,taxation,,casualties,taxation,Taxation,casualties,Physical Harm/War,159631,,
1504,1504,"In response, Harold W. ""Budd"" Schroeder, a longtime gun rights advocate from Lancaster, sent out an email identifying the bill as ""the rape of gun rights.""",06 Morality and Justice,Victim,Threatened,gun rights,,rape,gun rights,Gun Rights,rape,Crime,3123670,,
1007,1007,"We have to stop the mentality of \He who dies with the most guns wins\"".""",03 Conflict,Winner,Servant,He who dies with the most guns,[winner] wins,wins,guns,Guns,wins,Competition/Game,,,
73,73,I came back to this haven of taxation because I actually believe that I got something for my increased tax burden.,01 Health and Safety,Protection,Size,taxation,,haven,taxation,Taxation,haven,Natural Physical Force/Physical Harm/Protection,158616,,
1371,1371,"In addition to focusing on building guidelines and establishing standards, the ONC will also look to refine the bureaucracy in place at both the national and state level.",05 Engineering and Business: Resource,Resource,Threatened,bureaucracy,,refine,bureaucracy,Bureaucracy,refine,Resource,152482,,
43,43,"Professor, I cannot agree that democracy is a remedy for discrimination.",01 Health and Safety,Protection,Loser,democracy,,remedy,democracy,Democracy,remedy,Disease/Medicine,163996,,
1053,1053,"It doesn't glorify guns at all, but it at least makes kids think about how they would react should they ever come across one.",04 Power and Control: God,God,Facilitator,guns,,glorify,guns,Guns,glorify,A God,3772049,,
1311,1311,If that is true then gun control supports genocide.,05 Engineering and Business: Engineering,Component,Entity Age,gun control,,supports,gun control,Control of Guns,supports,Building,2160548,,
1456,1456,Sometimes I wonder if wealth steals our joy.,06 Morality and Justice,Criminal,Movement,wealth,,steals,wealth,Wealth,steals,Theft,2378534,,
1195,1195,Sell not virtue to purchase wealth nor liberty to purchase power.,05 Engineering and Business: Business,Product,Farmer/Gardener,wealth,,purchase,wealth,Wealth,purchase,Business,122778,,
1527,1527,"There is neither riches nor greatness in our littleness: the road to riches and greatness is through robbery of the poor and slaughter of the weak.""",06 Morality and Justice,Victim,Entity,the poor,,robbery,the poor,Poverty,robbery,Theft,2628932,,
689,689,"It is just plain silly, in light of the ""success"" of the drug war to think that the gun war would work any better.",03 Conflict,Conflict,Clothing Type,gun,,war,gun,Guns,war,War,2121202,,
609,609,Putin understands that the fall of the Soviet Union occurred because it was focused on not losing an arms race instead of winning a wealth race.,03 Conflict,Conflict,Child,wealth,,race,wealth,Wealth,race,Competition,2378458,,
339,339,How to Defend Your Gun Rights,01 Health and Safety,Threatened,Destruction Potential,Gun Rights,defend [threatened],Defend,Gun Rights,Gun Rights,Defend,Protection,,,
726,726,Firearm organisations provably have absolutely no idea of how to fight gun control and show no sign of figuring it out even if told.,03 Conflict,Enemy,Farmer/Gardener,gun control,,fight,gun control,Control of Guns,fight,Struggle,2909755,,
1496,1496,"The American gun owner will surely endure Draconian gun laws and confiscations, the ATF will get more funding and the anti-gun bigots will continue to dance in the blood of gun control victims.",06 Morality and Justice,Punished,Enforcer,The American gun owner,,,gun control,Control of Guns,victims,Crime,2377041,,
272,272,"Using data to challenge the government, the percentage of funds arriving at Ugandan schools eventually rose to 90 percent, with a typical school headmaster printing data and posting on the school door, to meet parental demands.",01 Health and Safety,Threatened,Servant,government,,challenge,government,Government,challenge,Competition,2671823,,
1274,1274,"In a four-trillion-dollar annual budget, a few million dollars here and there to lubricate the gears of Congress seems like a very small price to pay if it would create a more productive legislative body.",05 Engineering and Business: Engineering,Built,Undesirable Plant,Congress,gears of [built],gears of,Congress,Government,lubricate,Machine,761379,,
1091,1091,"It is argued that since atheists worship humanity, and since human government is the highest human institution, then atheists must worship government.",04 Power and Control: God,God,Child,government,,worship,government,Government,worship,A God,152400,,
1534,1534,"This bureaucracy experimented with three tax models: a land tax, customs tax, and finally an Excise tax -- a tax on the producers of the goods of everyday consumption.",07 Systematic Explanations,Experiment,Punishment,three tax models,experimented with [experiment],experimented,bureaucracy,Bureaucracy,experimented,Science,1973637,,
452,452,"I can't remember a more tortuous election journey, where we have been subjected to repeated violence of speech and thought, outrage, anger, bold-faced lies and people talking past one another instead of to each other in a way that promotes understanding and respect.",02 Journey,Agent,Clothing Type,election,,journey,election,Elections,journey,Journey,3118921,,
