Sentence,Source CM
Mozambique: President to fight poverty05/01Mozambican president Armando Guebuza has said he would dedicate more of his efforts in fighting poverty in 2009.,Struggle
Barack Obama's historical win to become president also made history at the world's biggest ad competition where his election campaign won one of the most coveted Cannes awards.,Competition/Game
"These taxes punish socially beneficial behavior; everyone agrees that society should have more income, hobs and investment.",Crime
"Oh, yea, and don't forgetâ€_ a mountain of ammo to go with them.",Hazardous Geographic Feature
Franken was accused of trying to steal the election.,Theft
"Since taxation generates market distortions by affecting the demand for and supply of goods, an ideal tax will be one whose effect on consumers and producers is small.",Energy/Machine
"NJSBA President Kevin E. Ciak discusses possible solutions to New Jerseyï¿_s property tax woes, including the encouragement of shared services, the removal of financial obstacles to voluntary regionalization, and most important, ending the stateï¿_s property tax addiction to fund public education.",Addiction
"The guns are supposed to be checked in, but once you open the gun door, well, shit happens.",Portal
If anything crime goes up and in response cities tighten gun laws.,Machine
"This theme gets repeated, you know, in the war on poverty, again, where you have liberals trying to, you know, essentially have a war of poverty to deal with racial injustices.",War
The problem I feel we have is we have far too many irresponsible people with guns and far too lax protections on protecting guns from the hands of those who would use them for harm.,Protection
"Severson argues that Minnesota has a ""corrupt election system"" and told delegates it is ""time for a conservative secretary of state.""",Contamination/Crime
"In the United States first-wave feminism is considered to have ended with the passage of the Nineteenth Amendment to the United States Constitution (1919), granting women the right to vote in all states.The term first wave, was coined retrospectively after the term second-wave feminism began to be used to describe a newer feminist movement that focused as much on fighting social and cultural inequalities as political inequalities.",Struggle
"Meanwhile, those who benefit from the structures which produce poverty continue to benefit.",Building
Our state government victory can mean a great deal -- if we have the wisdom and courage to use this power to show the real difference between the Party of Obama and the Party of Liberty.,Competition/War
WDR 2000/2001: Attacking Poverty,Struggle/War
SEIA warns US Tariffs may damage solar industry,Physical Harm
Logical fallacy of the Left: You can't stop gun violence by attacking guns,Struggle/War
Your vehicle of wealth is the most important element to your accumulation of riches.,Vehicle
"I have NEVER said anything about ""gun control reduces crime"".......",Downward Movement/Physical Burden
Firearm owners seem to be convinced the way to fight gun control is to instil some sort of appreciation for guns.,Struggle
We should not all be this eager to hang our gun rights hat on this story.,Clothing
"Assuming the $967 billion and $80 billion are two separate pools of wealth, then the proposed fiscal 2014 budget for Health and Human Services is more than $1 trillion.",Body of Water
Wealth alleviates material misery of the subject and obviates to an extent the need for a support in the form of formal organized religion.,Disease
"Comment pages: « Previous 1 2 Goodbye Hillary and the Clinton lying machine, but for God's sake don't drop out of your life long addiction of campaigning for ultimate power.",Addiction
The Second amendment illuminates one of the most basic rights inherent in being a free human being.,Light
"There's a mountain of ""the bottom line of money,"" a mountain of competition, a mountain of capitalism and another of socialism, there's a mountain of democracy and another of dictatorship, a mountain for every world religion: Islam, Buddhism, Christianity, Judaism, and more; and mountains for every racial and cultural group: African, Japanese, Brazilian.",Hazardous Geographic Feature
There will be a much larger flow of taxes going into the governmental coffers.,Body of Water/Movement
"Have you read ""Unintended Consequences"" by John Ross? the novel is primarily about the growth of gun control in America, but there is a sidestory of the Warsaw Ghetto and how just a few guns allowed people to tie up a lot of Nazi military resources.",Plant
"Further, to follow your reasoning would defeat taxation of the lion's share of services that are part of the sale of taxable items.",Struggle
We are prepared to make this the biggest taxpayer battle since Proposition 13.,War
"In a system of taxation based on justice and equity it is fundamental that the burdens be proportioned to the capacity of the people contributing (Mater et Magistra, 132).",Machine
Right now we know diddly squat...and any time a mentally unstable jerkwad purchases a gun and goes postal it hurts our gun rights more than if we supported stronger mental health care.,Physical Harm
"In contrast, many slaveowners in the early nineteenth century defended a strong national government as the best bulwark against both slave revolts and the ""leveling tendencies"" of non-slaveholders.",Struggle/War
"We think states are the 'laboratory of democracy' that can be on the front line of helping develop policies, being able to solve some of our nation's most pressing issues, whether it involves economic growth, job creation, health care, education, focusing on government waste and many other issues, Fallin said.",Science
"Latin American countries need to fight poverty more aggressively if they want to grow more and compete with China and other dynamic Asian economies, says a new World Bank report.",Struggle
Login Reply #12: Comes from the idea that being poor is a punishment for sin.,Crime
The Sad Death of Gun Control,Life Stage
"I love people who claim that the gun route can be done ""instantly in the heat of emotion"" as if no will or planning is involved or necessary to do something like this.",Journey
"Most importantly, a large reverse income tax would generate much political opposition while this proposal has wide spread support.",Energy/Machine
"Then in 2000 when that strategy failed by and large, you wanted to make George W. Bush and Jeb Bush pay for ""stealing"" the 2000 election.",Theft
"My point was that governments have killed more people - the OP did not say the US government but the last time I looked the US Govt was in fact a ""government"" and ""governments"" have killed far more people then individuals not engaged in the service of ""government.""",Physical Harm
Gun control produces a net increase of crime.,Factory
"The Republican primary race for governor all night had been a two-man fight between, with Rauner holding an narrowing edge on Dillard of Hinsdale as votes poured in.",Competition/Game
"Optimists hailed a region-wide birth of democracy, as though the Middle East and North Africa were following the path blazed in Eastern Europe during the anti-communist revolutions of 1989.",Life Stage
"The company has fought taxation at the state level, and a measure proposed at ALEC would have allowed companies to operate untaxed in states even if they advertise, hold trade shows or work through subsidiaries.",Struggle/War
"A vote on Thursday fell one shy of bringing the bill up for debate, leaving only one day left for consideration.",Resource
"In Colorado the reps dealt with a majority of angry citizens telling them firearms were a red line and they passed oppressive gun control anyway, in situations where the people feel that slighted I have no problem with a recall election.",Enslavement
Don't let democracy win!,Competition/Game
This is a long way from the understanding of politics that used to dominate Chinese leaders' thinking â€“ the belief that wealth heals all wounds; that the Party could afford to ignore all criticism as long as it could provide prosperity.,Medicine
"It isn't the neocon fable of intravenous democracy, even if it kills the patient.",Story
"First, during the 70s and in the first half of the 80s, the tax rate has increased from 34% to 42%.",Upward Movement
"The most important of these structural changes was that of bringing in the so-called representative or parliamentary system, which Puritanism introduced into the modern world, and which has received a great deal of praise as an advance towards democracy.",Forward Movement
"This information, especially in election season, offers an opportunity to de-stablize the New World Order Ruling Elite and restore honest elections with citizens checks and balances, true Freedom under God, and true Free Enterprise in America.",Game/Science
"What, however, is the mechanism by which democracy generates these beneï¬Åts?",Energy/Machine
"Guns dominate his thoughts, if you can consider such a subservient zombie to the NRA a thinking individual.",Enslavement/Leader
"The mechanism for gun rights destruction was the Firearms Control Act (FCA), passed in 2000 by the South African Parliament.",Natural Physical Force/Physical Harm
"In the face of continuing regional instability, an organized international effort to promote and protect democracy continues.",Protection
Strongly Opposes topic 14:The Patriot Act harms civil liberties (-5 points on Social scale),Physical Harm
"The question of voting for the ""lesser of two evils"" was addressed, as well as the myth of elections being the zenith of democracy.",High Location/Light
"Latin American countries need to fight poverty more aggressively if they want to grow more and compete with China and other dynamic Asian economies, says a new World Bank report.",Struggle
"What I respected is that she didn't use it to attack the firearm, it was just something she associated with her trauma and honestly I can't blame her for having that scar, it's a pretty scary thing to be involved in.",War
"The assault of wealth and power upon the government of this people is a Babel-builder's dream of unrestrained, money-maddened voices drowning out all reason.",Physical Harm/War
Consumer-Driven Culture Is Killing Our Democracy,Physical Harm
For a Republic that seems to idolize Democracy our work places remain almost consistently autocratic.,A God
"3 Robin Henderson In my life, I've found that poverty cures a million ills, or at least treats many of their symptoms.",Disease/Medicine
"If everyone gets nailed on felony charges, at this point gun control wins.",Competition/Game
"They could have attacked the issue of judicial review head on, as Congress's proposed amendments had sought to do, but they chose not to, perhaps anticipating the public's attachment to the idea of the judiciary as the guardian of the Constitution.",Protection
The unexpected invasion of poverty into the suburbs has revealed a huge hole in the social safety net.,War
"Politico's Ben Smith has looked over the mountain of the 2012 election to see what's down the path, and he sees same sex marriage as a potentially huge issue in the race for the Democratic nomination.",Hazardous Geographic Feature
"I am therefore hijacking the terminology again, and declaring America on the edge of a gun control cliff.",Abyss
"History has demonstrated that citizens in most places most of the time are generally averse to conflicts with long-term costs, and that democracy restrains aggressive rulers.",Confinement/Physical Harm
>>At the same time realise that is is a road block for gun control and will show the nature of its campaign.,Barrier
"You will say no, but any law that bans all guns would mean that all gun owners in your view were evil.",Monster
How to Defend Your Gun Rights,Protection
These cry baby gun control advocates are always crying wolf and every gun gets nastier and more evil to them.,Monster
We are opposed to legislation and litigation that seeks to erode or circumvent the Second Amendment.,Physical Harm
"The efforts of Al Franken, Harry Reid and Chuck Schumer to steal this election and seat Al Franken despite not having an election certificate are unprecedented, Duncan said in a statement.",Theft
Guns enslave a hell of a lot more frequently than they liberate.,Enslavement
"""We must also care for the wounded -- the existing poor -- while we work to solve the root causes so another generation does not fall into the bottomless pit of poverty that we have allowed to exist for to long,"" said Wayne Leonard, Entergy's chief executive officer.",Abyss
"The reason for this, a new study shows, is that poverty robs people of the mental bandwidth they need to make better decisions.",Crime/Theft
"* Guns were even more prevalent in the past; if that were not the case, why have we had a progression of gun control?",Forward Movement
The owner of the popular Brighton Beach-based Tatiana's Restaurant (3152 Brighton 6th Street) lost a tax battle due to a ruling that will cost her hundreds of thousands of dollars.,War
"BigBut: Over time, the 10Percenters Wealth decreases as they pay off the Debt and thus their Net Worth increases.",Downward Movement
The sad news is with the exception of very few no firearm organisation is doing anything of the slightest value in fighting gun control.,Struggle/War
that claim destroys your prior argument that the second amendment protects no gun nor any class of firearms,Protection
Voluntary commitment never results in the loss of gun rights.,Competition
DeFazio Fights for Common Sense Reforms to Protect Taxpayers and the Environment from Hardrock Mining Giveaways,Protection
"The same government is now addicted to the tax revenue collected from real killer drugs, alcohol and cigarettes.",Addiction
"Perhaps that statement aimed to reject speculation on the part of some US politicians, such as Senator Bob Graham, who attributed Bush's refusal to an effort to protect the Saudi government.",Protection
Looks like we are bound to learn the hard way what happens when uncontrollable government burdens its citizens past the breaking point.,Physical Burden
"But it didn't, and so the eternal truism has again been proved: In the classic struggle between simplicity and fairness, bureaucracy wins every time.",Competition/Game
Obama's election illuminates BOTH how far we have come and how much farther we need to go on race relations.,Light
"Increased food costs mean a lower or middle class family has less money to spend on other necessities, like childcare or transportation, increasing the tax's burden on already stressed families.",Physical Burden
"In this view, democracy is a burden and a hindrance, and enlightened authoritarianism can better serve the people",Physical Burden
He finds that providing readers with a corrective information to dispel an Obamacare myth can actually strengthen belief in death panels.,A God
"Moreover, our pending bilateral free trade agreement is part of a regional strategy that encompasses pending free trade agreements with Peru , and Panama and complements existing agreements with Chile, Central America and the Dominican Republic, Mexico and Canada.Completing these agreements would solidify open markets and strengthen democracy along the Pacific coast of the Americas.",Building/Strength
"That is not anti gun victory, now, do we capitalize on the spineless nature of our reps, or do we let them regroup?",Competition
The Turk and Mongol invaders found and easily robbed the mountains of wealth heaped in Hindu temples and it is little wonder that they had so little difficulty in conquering a spiritual country that had lost its material strength.,Hazardous Geographic Feature
These Are the People Our Money Is Murdering in Gaza 22 July 2014 davidswanson,Crime
"I may be wrong here, but that's what I assume... Thank you!! It frustrates me that those who fight for ultimate gun rights deny this kind of stuff.",Struggle
"If you put 10% down and finance the rest at an 8% interest on top of that, your wealth will melt at a rate of 17.2% per year (10% depreciation + 8% interest on 90% of the purchase price).",Body of Water/Energy
"We attack democracy as such, we don't want ""real democracy"" instead of ""fake democracy.""",War
"Using data to challenge the government, the percentage of funds arriving at Ugandan schools eventually rose to 90 percent, with a typical school headmaster printing data and posting on the school door, to meet parental demands.",Competition
Putin understands that the fall of the Soviet Union occurred because it was focused on not losing an arms race instead of winning a wealth race.,Competition
"Representative democracy was in fact born of many and different power conflicts, many of them bitterly fought in opposition to ruling groups, whether they were church hierarchies, landowners or imperial monarchies, often in the name of 'the people'.",Life Stage
"Using data to challenge the government, the percentage of funds arriving at Ugandan schools eventually rose to 90 percent, with a typical school headmaster printing data and posting on the school door, to meet parental demands.",Competition
"For the Argentines whom we got to know, tyranny is not caused by the government, but those who stole the government and used it for negative purposes.",Theft
To think that gun control cures anything is pure nonsense.,Disease
Commonwealth Private Bank can help you build and protect your personal wealth.,Physical Harm/Protection
"Welcome to the world of government/military procurement and specifications - bureaucracy wins over performance, price and value every time.",Competition/Game
Let's get some momentum behind the pro-gun control tide of public sentiment.,Body of Water
"Apparently, some far left gays figure they can get even by opposing gun rights figuring most or a majority of gun owners are hostile to their ""Gay rights"". many of the most idiotic anti gun arguments I have heard have come from militant gays.",Competition/Struggle
Capitalism was also a major factor in the general advancement of bureaucracy.,Forward Movement
So eventualy our gun rights will be demolished thanks to less lethal force?,Building
They are valued partners in an effort to combat hunger in America.,War
"In response, Harold W. ""Budd"" Schroeder, a longtime gun rights advocate from Lancaster, sent out an email identifying the bill as ""the rape of gun rights.""",Crime
"Our scientist, after fighting off an invasion of red tape, puts together his ideas into a product which looks like a completed puzzle from one angle.",War
"Texas (like Alaska) is smart enough to tax oil extraction in the state, and these companies are leeching off of California, relying on the acerebral opposition of the California Republican Party to a tax on extracted oil (the typically hypocritical anti-tax extremist, Sarah Palin, raised Alaska's tax during her curtailed stint as governor), and their own ability to buy votes through heavy advertising.",Business
He is working with CIRA on a statewide effort to attack poverty with sustainability initiatives.,War
"They will fight for gun rights to their dying breath (just as I would) the entire time screaming liberty while riding a bald eagle, yet are unbelievably anti-weed, anti-porn, and anti-gay.",Struggle/War
He is working with CIRA on a statewide effort to attack poverty with sustainability initiatives.,War
I for one am furious about the criminals running things setting up a scheme to steal our second amendment.,Theft
Jihadi wave tests Tunisia's young democracy,Life Stage
"That puts us that much further ahead in our wealth journey because he's got the experience, he's got great staff and he knows all the geography.",Journey
We've seen that gun bans are wholly ineffectual and that extreme gun control victimizes the people it's designed to protect.,Crime
"The first step in the revolution by the working class is to raise the proletariat to the position of ruling class, to win the battle of Democracy.",War
"Kobayashi fought hunger (the cause, not the innate human reaction) by doing what he does best: Eating a fucking ridiculous amount of food.",Struggle
"I was wondering, does anyone really think that this is a simple war of democracy against evil?",Struggle/War
Facebook0 Twitter0 livefyre Email Print Americans Get a Peek into Constitutional Chasm; Santorum: Still Ferocious Supremes Dive Into Constitutional Chasm on Obama Health Law ADVERTISEMENT ADVERTISEMENT,Barrier
Things must be getting a bit desperate for the powers that be if they are playing the gun control card.,Game
"If facilitated to grow in a strategic manner, tourism could also play a leading role in wealth creation as well as in poverty alleviation, Nhema said.",Disease/Medicine
"Von Stewart, a Forest Hills resident of five years, said Weiner has his vote next year, but said the congressman destroyed his mayoral aspirations.",Natural Physical Force
In the mean time who is fighting gun control.,Struggle
"This new tax system exploits the poor!""",Physical Harm
"Wealth doesn't provide freedom for them, wealth enslaves them.",Enslavement
"Take the gun control hat off for a moment and imagine that someone had the sense to stop a man with a bag full of gas canisters, gas mask, body armour and a helmet.",Clothing
"Yet such is the power of democracy worship, this secular religion, to blind people to the evidence of their own eyes that virtually every Western leader favored one-man, one-vote democracy in Rhodesia.",A God
"He had vowed to fight her poverty, brought about by the greed of bureaucracy, and he was so sure he would succeed, there was a swagger in his step.",Struggle
"And amid the deadly steaming jungles of Vietnam, the violent clash of democracy against the creeping threat of communism stalls as the war-torn People's Republic gives up its hungry dead.",Competition
"Wealth Management is the process of growing and preserving an individual's wealth and assets, as well as establishing a plan for the seamless transfer of those assets to beneficiaries.",Physical Harm
It is time to whack the weeds of poverty and economic insecurity.,Plant
"You remember, when they shut down the recount in Florida and stole the election from Gore, giving us 8 years of George W. Bush?",Theft
Good guys with guns for the win.,Competition/Game
"Steve B says: July 3, 2013 at 11:07 am West Virginia’s Senator Joe Manchin is a gun control pimp flying under a false flag.",Crime
Democracy captures the fundamental characteristic that separates mankind from the rest of the animals -- the ability to plan for a better future and to work to change behavior in order to achieve it.,Confinement
Biden came out today and said that President Obama may act alone with a series of executive orders to combat gun control.,War
Includes locking glass lid to protect your firearm from dust and unauthorized handling.,Protection
"It was not a person the Occupy Wilmington group mourned, but what they call the downfall of democracy.",Downward Movement/Struggle
Gun control is dangerous because an armed citizenry is essential to maintaining a government that fears the citizens.,Physical Harm
Also I wanted to point out how Team Obama isn't just going to walk away from the Gun issues.,Struggle
"Gun control advances in the Senate, Democrats thank MSM for propaganda April 11, 2013",Forward Movement
"Kobayashi fought hunger (the cause, not the innate human reaction) by doing what he does best: Eating a fucking ridiculous amount of food.",Struggle
"The abuse of gun rights, aka violent crime, is already illegal and heavily prosecuted.",Physical Harm
"For those without privilege, the assault of hunger and the search for a quiet place to sleep take numbing precedence over the celebration of embodiment.",Crime/Physical Harm
"Actually, we are talking about anything in the powers given to Congress which impacts firearms and I just gave you a raft of them.",Physical Harm
"Communism is a system with a totalitarian, absolutist government that rules over everyone's lives, and this must be the natural form of government for people who worship the government.",A God
The unexpected invasion of poverty into the suburbs has revealed a huge hole in the social safety net.,War
"Alas, in the old age of democracy in which we live, equality takes precedence over liberty",Life Stage
"And if there is to be no top armament level, can your guns compete with a howitzer?",Competition
"Paul Koning says: January 4, 2013 at 4:25 pm Interestingly, the notorious Miller case, which is often mentioned as a defeat of gun rights (because it upheld the short barrel ban) has some good points -- one of which is that it specifically said that military style weapons are protected by the 2nd amendment.",Competition/Game/War
"But Olson's triumph left many in the legal community reeling, as they accused her in published reports of buying the election and targeting",Resource
It has no other use than as a psychological victory for gun control ratifying and validating gun control.,Competition/Game/Struggle
Gun control enslaves free people,Enslavement
These cowards have zero education about what this nation was founded or what democracy is let alone what it means to fight to protect the freedoms that a true democracy covets.,Physical Harm
These efforts were also significant in curricular change and in shaping government policies toward higher education in China especially in the area of private education.,Shape
That means that we must remain firm in our commitment to defeat gun control at every turn.,Struggle
GUN SAFES are designed to guard your guns against theft when you are NOT PRESENT.,Protection
"The lawsuit, filed in the Circuit Court of Cole County, charges that an anti-affirmative action ballot initiative proposed by Tim Asher and his Missouri Civil Rights Initiative should not be circulated for signatures because it violates the Missouri Constitution by seeking to trick and defraud Missouri voters in attempting to ban an array of equal opportunity programs.",Theft
"This resolution expresses the sense of the House that the President, without undue delay, should transmit to Congress for its consideration proposed legislation, consistent with United States law regarding protection of human rights, to assist the Government of Colombia protect its democracy from United States-designated foreign terrorist organizations and the scourge of illicit narcotics.",Protection
"Yet, with that being said, there is still the case to be made that strict gun control feeds into the problem regardless of race.",Food
"200 years of ""fighting"" gun control and they are still trying to find the quick fix and are totally uninterested in the last one lost or any other lost.",Struggle
"If you really want to give credit where credit is due, when it comes to wealth worship. look to right wing talk radio.",A God
"Democracy Besieges Iraq The pro-occupation Washington Times began their coverage of today's illigitmate 'election-under-occupation' in Iraq with these words,",Struggle/War
"At the same time, Myanmar is of vital strategic and economic importance to China and it clearly does not want to jeopardize its still delicate relationship with the junta by joining Western boycotts, condemnations and calls for the emergence of more democracy.",Physical Location/Upward Movement
"I don't like violence and shudder everytime I hear of violence being enacted, but if someone is robbing your or extorting you, whether it is cloaked in a uniform of government or not, it is your right to defend yourself.",Clothing
...dying from a stray bullet or an overdose of poverty will still be easy...,Addiction
"Emiliano Zapata (Marlon Brando), a Mexican Indian from Morelos, joins forces with Pancho Villa (Alan Reed) to overthrow the corrupt Mexican government.",Contamination
"It envisions a Supreme Court standing (or rather enthroned) at the apex of government, empowered to decide all constitutional questions, always and everywhere `primary' in its role.""",High Location
"Socialist parties also challenged governments, particularly during the Great Depression, to tackle the inequalities that were still widespread in democratic and wealthy nations.",Competition
Best they learn how to fight gun control.,Struggle
"Across the globe, free markets and trade have helped defeat poverty, and taught men and women the habits of liberty.""",Competition/Game/War
"He lowers his hand but lifts his chin in self-righteous indignation, clearly trying to make me feel like an inferior low-life who is being dragged into the abyss of guns, drugs, and alcohol.",Abyss
"The malicious intent by these organizations to confuse voters, dilute the election results and undermine the primary process is wrong,"" he said.",Resource
"People who divert attention from our rights to selling, promoting and glorifying guns are simply doing gun controls work for them.",A God
The fact remains...handouts trump gun rights in California.,Game
The 1913 income tax produced a degree of chaos because of the haste with which it was introduced and the lack of guidance offered to those preparing returns.,Factory
"As Jesus and Elijah gave the widows their sons, today, as a society we must ask who in society should be given a safety net, so they will not fall into the abyss of poverty.",Abyss
"Ah well, this election is still young.",Life Stage
"However gun control sells its pubic campaign of citizens safety wringing hands and with tears in their eyes they parade victims screaming, do you want this to happen to you.",Business
"Then provide drive by comments about ""stooges"" and ""gun cult.""",A God
"The death tax kills jobs, said AGC President Terry Deeny.",Crime/Physical Harm
"If you've been in the gun rights game for a while, this handbook will be the fastest refresher course you've ever taken.",Game
The Commission accordingly makes recommendations to strengthen democracy and institutions of accountability.,Building/Strength
"The reality is that gun control destroys lives, it destroys families, it destroys freedom, and it keeps no one safer.",Natural Physical Force
It is environmental blackmail and is an immoral abuse of relative wealth and a serious form of exploitation.,Physical Harm
"In a settled society, government exacts tribute from everyone that works or buys and sells.",Forceful Extraction
"As previously mentioned, competitive eater Takeru Kobayashi went to town on a bunch of fruitcake this morning, all in the name of fighting hunger for the Food Bank of NYC.",Struggle
"Our scientist, after fighting off an invasion of red tape, puts together his ideas into a product which looks like a completed puzzle from one angle.",War
Bureaucracy destroys community; who knew?,Natural Physical Force/Physical Harm
"Guns prevent crime, guns assist crime, guns cause accidental deaths, guns turn minor disagreement into a deadly encounters.",Servant
"Nowhere in this question do I say ""wealthy people are a burden to society"".",Physical Burden
"Seriously, don't go by anything that guy said, and don't think for a second that this idiot represents everyone in the firearms community.",Physical Location
"Courtney has also worked on The Empty Bowl Project - which provides monetary support for food banks, soup kitchens, and other organizations that fight hunger.",Struggle
"Recalled Colorado Sen. Angela Giron: We can beat the gun lobby &mdash; we already have - The Washington Post Gun legislation has stalled in Congress because lawmakers fear the fate I suffered — being targeted, voted out or recalled by extremist political activists because of views on firearms safety that dare challenge the gun lobby.",Competition
Firearm owners seem to be convinced the way to fight gun control is to instil some sort of appreciation for guns.,Struggle
It's a reminder of why we need to oppose knee jerk gun laws every time they come up.,Struggle
"It is also not the objective of firearm organisations who could only bother to protect sports, shooting, guns, training - promoting and glorifying guns.",A God
Social Welfare Taxation generates social welfare.,Energy/Machine
"Indeed, the President of Indonesia remarked at that time: ""The primary task of development is to uplift the common people from the abyss of poverty and the principal solution for raising the weak from poverty and destitution is through cooperatives.""",Abyss
"It causes and/or exacerbates depression, alcoholism, murder, mayhem, destruction, road rage, callousness, disrespect, theft, sexual perversions of all kinds, cuddles criminals, makes crime profitable, in short, a democracy nurtures and breeds every conceivable pathogen designed to convulse life and, above all, a democracy steals liberties.",Crime/Theft
"Virginia News GUN CRIMES Va. gun crime drops again as firearm sales soar BY MARK BOWES Richmond Times-Dispatch Gun-related violent crime continues to drop in Virginia as the sales of firearms continue to soar, a pattern that one local criminologist finds interesting ""given the current rhetoric about strengthening gun laws.""",Building/Strength
Democracy destroys freedom.,Natural Physical Force/Physical Harm
"Several events dealt with themes such as: debt relief, the fight against hunger and disease, strengthening democracy and reconciling economy and ecology.",Building/Strength
"A judicious use of the engine of taxation would, it might be thought, have a similar effect on the disposition of the people.",Machine
"everybody believes guns manufacture themselves and ship themselves, hello hi I would like to order 100 ak47s, 200 AR-15s, and 50 desert eagles.",Factory
why is attacking gun rights almost always a hobby of the socialist left?,Struggle
Recession entertainment @ its finest. fight hunger by promoting a competitive eater.,Struggle
They admonish us for wanting the right to defend ourselves in the most efficient way available (private firearms ownership) while at the same time surrounding themselves with a shield of guns.,Protection
you throw the term INSANE around a lot when the real insanity comes from the garment soiling gun haters who are either terrified of the fact that others make personal safety their individual responsibility or hate conservatives and think attacking gun rights is just punishment for us being against nanny state collectivism.,Struggle/War
These lawsuits drain the resources of the federal agencies and rob the taxpayer at the same time.,Theft
"The poverty sojourn is slated to begin Sunday, July 15, in -- can you guess where?",Journey
"The way he reduced the issue to some simple-minded, Star Wars-like epic in which the evil white City Council oppresses the helpless black community made me ill.",Enslavement
"But dire consequences are not expected by some legal experts, including Sanford Levinson, a noted constitutional scholar and liberal-leaning professor at the University of Texas who made news when he wrote that he, too, believed the Second Amendment protected individual rights to bear arms.",Protection
"Gun control burdens peaceful citizens, not criminals.",Physical Burden
"When horrible killings take place, gun control rockets up on the public agenda, Spitzer said.",Upward Movement
"Perry argues that gun control sells the false premise that it is solving a problem, when all it does is make it more difficult for law-abiding citizens to defend themselves.",Business
"More than 90 percent of the guns recovered in Mexico come from the United States, Obama claimed last week, repeating a favorite factoid of politicians who believe American gun rights endanger our southern neighbor's security.",Physical Harm
It completely glosses over the abject surrender of government from the policy making exercise.,War
"When we conquer a foreign land, our appointed governor cannot simply plant democracy in the tread of his boots.",Crop/Plant
"The birth of Gun Control dates back to the control of the just freed slaves, just as the Ku Klux Klan was designed to control blacks in the south.",Life Stage
Melinda Herman has now become a new face of gun rights amid the dramatic story of her defending herself and two children with a six-shot revolver.,Human Body
Following the 2010 Congressional election domination by the Republicans it seemed all but likely that the trend would continue over the next few yeas and Obama would likely be defeated.,Enslavement/Leader
A gun can't kill anyone.,Physical Harm
Well constrast this to our current government run system where crimnal proceedings take many years and mountains of money.,Hazardous Geographic Feature
The narrative in the media seems to be that gun control actually won the midterms.,Competition/Game
"Among the more startling facts presented in the report: while median income for America’s middle class fell five percent from $72,956 to $69,487 in the years 2000-2011, median wealth plummeted by 28 percent, ""erasing two decades of gains.""",Downward Movement
"A patriarchal, tribal society, Yemen has experimented with democracy for several years even as it contends with elements sympathetic to terrorism.",Science
Special-election candidates vie for District 2 seat,Competition
What people DO say is that gov't can't create wealth.,Building
"Then the old Rome, like the beggar on horseback, presumed on the favor of the gods, and said, ""Lo! there is neither riches nor greatness in our littleness: the road to riches and greatness is through robbery of the poor and slaughter of the weak.""",Theft
3) gun violence is decreasing in this country.,Downward Movement
"One anonymous wag once suggested that while a fine is a tax for doing something wrong, tax is a fine for doing something right!",Crime
"The E100 is not quite the shiny, strokable wonder that was the Clix, but it does have a pared-back, elegant design that gives Apple a run for its (mountain of) money.",Hazardous Geographic Feature
"By the way... let me tell you just a bit about why I'm so attached to my ""sacred guns"".... 1.",A God
"14 Fearing the collapse of the Salvadoran government, the United States dramatically increased foreign aid and bolstered the Salvadoran military by providing advisers and supplying helicopters and attack aircraft.15",Building/Downward Movement
"Re: The Liberal Media Attacks!........ State Schools?!?! Oh excuse me I forgot that bureaucracy cures all ills and soon it will be doing exactly that with Universal Healthcare....I LOVE going to Court, I LOVE going to the Post Office, I LOVE going to the DMV, I LOVE going to the IRS, and soon thanks to Obama and co. I can get the same attitude while I am sick and in dire need of medical attention.",Medicine
"But that affords no reason why those who do not believe in their utility or practicability, should be compelled to contribute to their support through the convenient shield of taxation.",Physical Harm/Protection
"He continuously attacks the Constitution in the name of upholding it and ""bringing back"" the America that never was.",Struggle/War
0 0 Manifesting Abundance - Are You a Slave to Poverty?,Enslavement
One aspect of Christianity that naturally gets neglected is its veneration of poverty.,A God
"Infinite Wealth illuminates our environment, allowing us to clearly see the big picture and how the individual pieces of today's activity fit into a coherent new worldview, thus making sense of today's chaos.",Light
"In any event, widespread and ever-increasing poverty weakens the entire country and a weak country could easily fall prey to radical solutions claiming to change the situation for the better.",Physical Harm/Weakness
"The hostility of many conservatives to government ""giveaways"" reflects a hintergedanke sentiment that helping the poor only strengthens poverty, and that making it hell on earth to be a poor person is the best way to fight poverty.",Building/Strength
"Preserve, protect and defend the right to bear arms.",Protection
"The company has fought taxation at the state level, and a measure proposed at ALEC would have allowed companies to operate untaxed in states even if they advertise, hold trade shows or work through subsidiaries.",Struggle/War
I'm tempted to say gun control is an ideologically based religion with many duped believers.,A God
"But instead of being ashamed, Wal-Mart sees its abuse of taxpayers as a badge of honor and even threatens to hold Maryland jobs hostage which is all but extortion.",Physical Harm
The Second Amendment is a beacon of freedom and as such the vast majority of Americans support the private ownership of firearms.,Light
"The program also focuses on environmentally sustainable economic growth that emphasizes employment and income generation while reducing inequalities between regions, strengthening democracy, renewing public administration, and reducing corruption.",Building/Strength
Gun control snuffs out another innocent victim.,Darkness
"In truth, gun control steals our freedom, our safety, and our capacity for self-defense.",Theft
By 2009 the poverty rate stood at 14.3%--about where it was when the War of Poverty began.,War
"be part of all public polling and public discussion going forward.</p> <p>In Pew's question, respondents are asked, ""Which is more important, to control gun ownership, or protect gun rights?"", as if controlling gun ownership is its own goal",Protection
