,Unnamed: 0.1,Unnamed: 0,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12,phrase_1,phrase_2,xAttr,xEffect,xIntent,xNeed,xReact,xReason,xWant
191,191,5,The issue is serious enough to question the longevity or continuance of an agency so vital to the smooth flow of taxation within the United States.,01 Health and Safety,Beneficial,taxation,,flow,taxation,Taxation,flow,Body of Water/Movement,1971577.0,,,flow of,flow of,"[[' responsible', ' active', ' capable']]","[[' none', "" PersonX's flow of blood slows down."", "" PersonX's flow of blood slows down""]]","[[' none', ' to be in control', ' to be efficient']]","[[' none', ' to know how to flow', ' to know how to do it']]","[[' happy', ' satisfied', ' happy.']]","[[' PersonX has a lot of work to do', ' PersonX is in the middle of a race', ' PersonX has a lot of work to do.']]","[[' to go home', ' to go to sleep', ' to get a drink']]"
192,192,1483,"But if there's one part of the poll that sums up what a terrible place Republican voters are in, emotionally, it's this: 49% of GOP voters nationally say they think that ACORN stole the election for President Obama.",06 Morality and Justice,Property,election,,stole,election,Elections,stole,Theft,762165.0,,,stole the,stole the,"[[' mean', ' sneaky', ' greedy']]","[[' gets arrested', ' gets caught', ' PersonX is arrested']]","[[' to steal something', ' to get something', ' to steal something.']]","[[' to have a reason to steal', ' to have a reason to steal it', ' to be in possession of something']]","[[' guilty', ' like a criminal', ' like a thief']]","[[' PersonX needs the money.', ' PersonX needs the money', ' PersonX needs the money for school.']]","[[' to go to jail', ' to hide the evidence', ' to hide it']]"
193,193,411,"He continuously attacks the Constitution in the name of upholding it and ""bringing back"" the America that never was.",01 Health and Safety,Threatened,Constitution,,attacks,Constitution,Government,attacks,Struggle/War,761678.0,,,attacks the,attacks the,"[[' violent', ' aggressive', ' mean']]","[[' gets injured', ' PersonX gets injured.', ' PersonX is injured.']]","[[' to hurt someone', ' to get revenge', ' to hurt them']]","[[' to have a weapon', ' to get a weapon', ' to be in a fight']]","[[' angry', ' powerful', ' satisfied']]","[[' PersonX is in a wheelchair.', ' PersonX is in prison.', ' PersonX is in jail.']]","[[' to run away', ' to get revenge', ' to kill the person']]"
194,194,575,The fact remains...handouts trump gun rights in California.,03 Conflict,Aid,gun rights,,trump,gun rights,Gun Rights,trump,Game,2137959.0,,,trump gun,trump gun,"[[' aggressive', ' violent', ' powerful']]","[[' PersonX shoots the gun', ' PersonX shoots the gun.', ' PersonX gets shot.']]","[[' none', ' to protect himself', ' to be in charge']]","[[' none', ' to have a gun', ' to buy a gun']]","[[' powerful', ' like a leader', ' happy']]","[[' PersonX goes to the gun range', ' PersonX goes to a gun range', ' PersonX goes to a gun show']]","[[' to shoot the gun', ' to show off', ' to show off their skills']]"
195,195,366,Being pro-gun simply means you protect guns..... a slogan designed to get people to give up their rights and protect a perceived safety mechanism.,01 Health and Safety,Threatened,guns,,protect,guns,Guns,protect,Protection,2119913.0,,,protect guns.....,protect guns.....,"[[' protective', ' brave', ' strong']]","[[' PersonX is protected.', ' PersonX is protected', ' none']]","[[' to be safe', ' to protect his family', ' to protect himself']]","[[' to have a gun', ' to buy a gun', ' none']]","[[' safe', ' satisfied', ' happy']]","[[' PersonX buys a gun', ' PersonX buys a gun safe', ' PersonX buys a new gun']]","[[' to keep the guns safe', ' to keep the gun safe', ' to protect their family']]"
196,196,1218,Investments only deepen your wealth.,05 Engineering and Business: Engineering,Built,wealth,,deepen,wealth,Wealth,deepen,Abyss,159115.0,,,deepen your,deepen your,"[[' smart', ' intelligent', ' skilled']]","[[' none', ' PersonX becomes a better person.', ' PersonX gets a promotion.']]","[[' to be a better person', ' to be a good person', ' to be a better person.']]","[[' none', ' to know how to deepen it', ' to know how to deepen something']]","[[' happy', ' good about themselves', ' satisfied']]","[[' PersonX wants to be a better person', ' PersonX wants to be the best', ' PersonX wants to be a good friend']]","[[' to make you happy', ' to make you feel better', ' to help others']]"
197,197,1052,I won't glorify guns beyond that.,04 Power and Control: God,God,guns,,glorify,guns,Guns,glorify,A God,2665617.0,,,glorify guns,glorify guns,"[[' violent', ' immoral', ' ignorant']]","[[' none', ' gets arrested', ' PersonX gets arrested']]","[[' none', ' to be a hero', ' to be a good person']]","[[' none', ' to have a gun', ' to buy a gun']]","[[' proud', ' happy', ' justified']]","[[' PersonX buys a gun', ' PersonX buys a gun at a gun show', ' PersonX buys a gun at the gun show']]","[[' to get a gun', ' to be a hero', ' to make a statement']]"
198,198,326,"Actually, we are talking about anything in the powers given to Congress which impacts firearms and I just gave you a raft of them.",01 Health and Safety,Threatened,firearms,impact(s) [threatened],impacts,firearms,Guns,impacts,Physical Harm,,,,impact(s) [threatened],impact(s) threatened,"[[' aggressive', ' violent', ' threatening']]","[[' none', ' PersonX is scared.', ' PersonX is threatened.']]","[[' none', ' to be safe', ' to be feared']]","[[' none', ' to have been threatened', ' to know what they are doing']]","[[' scared', ' angry', ' sad']]","[[' PersonX goes to the police', ' PersonX goes to the police station', ' PersonX goes to jail']]","[[' to get away from the situation', ' to run away', ' to run away from the situation']]"
199,199,1547,Understanding the drama of democracy: looking back at the 7th international conference in Interpretive Policy Analysis,07 Systematic Explanations,Topic,democracy,drama of [topic],drama of,democracy,Democracy,drama,Story,,,,drama of [topic],drama of topic,"[[' curious', ' thoughtful', ' intelligent']]","[[' none', ' gets yelled at', ' PersonX gets yelled at']]","[[' none', ' to make a point', ' to be entertaining']]","[[' none', ' to know the topic', ' to know about the topic']]","[[' happy', ' like they are making a point', ' like they are making a good point']]","[[' PersonX talks about the topic', ' PersonX talks about a topic', ' PersonX talks about the subject']]","[[' to make a point', ' to make a good impression', ' to be heard']]"
200,200,100,"When you go to the other first-world democracies, you find out that they are quite free...and you find out that no, firearms don't secure a person's freedom.",01 Health and Safety,Protection,firearms,,secure,firearms,Guns,secure,Protection,2671489.0,,,secure a,secure a,"[[' determined', ' confident', ' responsible']]","[[' PersonX gets a new job.', ' PersonX gets a new car.', ' PersonX gets a new job']]","[[' to have something', ' to get something', ' to have a home']]","[[' to go to the store', ' to go to the bank', ' none']]","[[' happy', ' satisfied', ' secure']]","[[' PersonX needs a new car.', ' PersonX needs a new job.', ' PersonX needs to buy a new car']]","[[' to buy a house', ' to get a new job', ' to go home']]"
201,201,599,"And if there is to be no top armament level, can your guns compete with a howitzer?",03 Conflict,Conflict,guns,,compete,guns,Guns,compete,Competition,2377007.0,,,compete with,compete with,"[[' competitive', ' aggressive', ' Competitive']]","[[' PersonX wins the competition', ' PersonX wins the competition.', ' PersonX wins the race']]","[[' to be the best', ' to win', ' to be the best.']]","[[' none', ' to know how to compete', ' to know how to do it']]","[[' competitive', ' like a winner', ' like a winner.']]","[[' PersonX wants to be the best', ' PersonX wants to win', ' PersonX wants to win the competition']]","[[' to win', ' to win the competition', ' to be the best']]"
202,202,818,"Democracy won, and bureaucracy lost, said Nevadans for Sound Government attorney Joel Hansen, who praised the judge's ruling as historic for Nevada.",03 Conflict,Loser,bureaucracy,,lost,bureaucracy,Bureaucracy,lost,Game,2007447.0,,,,,"[[' lost', ' defeated', ' careless']]","[[' PersonX loses the game.', ' PersonX loses the game', ' PersonX loses money.']]","[[' none', ' to win the game', ' to win']]","[[' none', ' to play a game', ' to be playing a game']]","[[' sad', ' defeated', ' upset']]","[[' PersonX loses the game', ' PersonX tries to win the game', ' PersonX tries to win the race']]","[[' to try harder next time', ' to win the game', ' to try again']]"
203,203,251,"With the decision, CT advocates have dodged a bullet that many feared could have killed the promising new field of cardiac imaging with CT. (AuntMinnie.com)",01 Health and Safety,Threat,bullet,,killed,bullet,Guns,killed,Physical Harm/War,3032143.0,,,killed the,killed the,"[[' violent', ' mean', ' aggressive']]","[[' gets arrested', ' PersonX is arrested.', ' PersonX gets arrested.']]","[[' to kill someone', ' to get revenge', ' to be a killer']]","[[' to have a weapon', ' to have a gun', ' to get a gun']]","[[' guilty', ' sad', ' satisfied']]","[[' PersonX is a murderer.', ' PersonX is a murderer', ' PersonX is a killer.']]","[[' to hide the body', ' to run away', ' to hide the evidence']]"
204,204,1520,"A quick glance at George W. Bush's governing style during his first term reveals that whenever he reaches out to congressional Democrats, the result has been legislation that maims taxpayers and divides the Republican party down the middle.",06 Morality and Justice,Victim,taxpayers,,maims,taxpayers,Taxpayers,maims,Physical Harm,2378421.0,,,maims taxpayers,maims taxpayers,"[[' violent', ' mean', ' immoral']]","[[' gets arrested', ' PersonX gets arrested.', ' PersonX is arrested.']]","[[' none', ' to hurt people', ' to hurt someone']]","[[' none', ' to be a criminal', ' to hurt someone']]","[[' guilty', ' sad', ' angry']]","[[' PersonX gets arrested and goes to jail', ' PersonX gets arrested for murder', ' PersonX gets arrested']]","[[' to get away with it', ' to hide from the police', ' to get away from the law']]"
205,205,1366,"If you put 10% down and finance the rest at an 8% interest on top of that, your wealth will melt at a rate of 17.2% per year (10% depreciation + 8% interest on 90% of the purchase price).",05 Engineering and Business: Resource,Resource,wealth,,melt,wealth,Wealth,melt,Body of Water/Energy,158623.0,,,melt at,melt at,"[[' emotional', ' sad', ' cold']]","[["" PersonX's face turns red."", "" PersonX's face turns red"", ' none']]","[[' none', ' to be happy', ' to be happy.']]","[[' none', ' to be in the heat of the moment', ' to be in a hot place']]","[[' sad', ' happy', ' happy.']]","[[' PersonX sees a snowman', ' PersonX sees a beautiful sunset', ' PersonX sees a snowflake']]","[[' to get away from the situation', ' to get out of the heat', ' to get away from it']]"
206,206,1693,"That is, until some racist nimrod spits into the great pool of democracy and spoils our good time.",13 Nature: Body of Water,Body of Water,democracy,pool of [body of water],pool,democracy,Democracy,pool,Body of Water,155963.0,,,pool of [body of water],pool of body of water,"[[' relaxed', ' adventurous', ' active']]","[[' PersonX swims in the water.', ' PersonX swims in the water', ' PersonX swims in the pool.']]","[[' to cool off', ' to relax', ' to cool down']]","[[' to get in the water', ' to go to the pool', ' to get in the pool']]","[[' relaxed', ' happy', ' refreshed']]","[[' PersonX swims in the lake', ' PersonX swims in the pool', ' PersonX jumps into the pool']]","[[' to get out of the water', ' to swim in the water', ' to swim in the pool']]"
207,207,1504,"In response, Harold W. ""Budd"" Schroeder, a longtime gun rights advocate from Lancaster, sent out an email identifying the bill as ""the rape of gun rights.""",06 Morality and Justice,Victim,gun rights,,rape,gun rights,Gun Rights,rape,Crime,3123670.0,,,rape of,rape of,"[[' violent', ' mean', ' immoral']]","[[' gets arrested', ' PersonX gets arrested.', ' PersonX gets arrested']]","[[' none', ' to be a rapist', ' to have sex']]","[[' none', ' to have a weapon', ' to get a weapon']]","[[' guilty', ' sad', ' bad']]","[[' PersonX is a rapist', ' PersonX is a rapist.', ' PersonX gets arrested for rape']]","[[' to get away with it', ' to get away from the situation', ' to get away with the crime']]"
208,208,64,This is a long way from the understanding of politics that used to dominate Chinese leaders' thinking â€“ the belief that wealth heals all wounds; that the Party could afford to ignore all criticism as long as it could provide prosperity.,01 Health and Safety,Protection,wealth,,heals,wealth,Wealth,heals,Medicine,3122920.0,,,heals all,heals all,"[[' helpful', ' skilled', ' caring']]","[[' none', ' gets thanked', ' PersonX heals all']]","[[' to be helpful', ' to be a healer', ' to be a good person']]","[[' to be a doctor', ' none', ' to know how to heal']]","[[' happy', ' good', ' accomplished']]","[[' PersonX is a doctor.', ' PersonX is a doctor', ' PersonX is a healer.']]","[[' to help others', ' to be a doctor', ' to be a healer']]"
209,209,217,"More than 90 percent of the guns recovered in Mexico come from the United States, Obama claimed last week, repeating a favorite factoid of politicians who believe American gun rights endanger our southern neighbor's security.",01 Health and Safety,Threat,gun rights,,endanger,gun rights,Gun Rights,endanger,Physical Harm,2378662.0,,,endanger our,endanger our,"[[' irresponsible', ' dangerous', ' reckless']]","[[' PersonX commits a crime.', ' PersonX commits a crime', ' PersonX gets arrested.']]","[[' none', ' to be dangerous', ' to be selfish']]","[[' none', ' to do something dangerous', ' to do something bad']]","[[' guilty', ' bad', ' guilty.']]","[[' PersonX is a criminal.', ' PersonX is a criminal', ' PersonX does not care about us']]","[[' to get away from the situation', ' to get away with it', ' to make amends']]"
210,210,349,"As the GOP stands tall as the guardian of taxation for the nation's wealthy and guardian for corporate America, the party sacrifices programs that in the long run will help to make America strong and less dependent globally.",01 Health and Safety,Threatened,taxation,,guardian,taxation,Taxation,guardian,Protection,3121779.0,,,,,"[[' responsible', ' protective', ' caring']]","[[' none', "" PersonX is protected by PersonX's guardian"", "" PersonX is protected by PersonX's guardian.""]]","[[' to be a good parent', ' to be a good friend', ' to be a good person']]","[[' none', ' to have a guardian', ' PersonX needs a guardian.']]","[[' happy', ' responsible', ' protective']]","[[' PersonX is a guardian', ' PersonX has a guardian dog', ' PersonX has a guardian']]","[[' to be a good parent', ' to be a good guardian', ' to protect the children']]"
211,211,1521,"The lawsuit, filed in the Circuit Court of Cole County, charges that an anti-affirmative action ballot initiative proposed by Tim Asher and his Missouri Civil Rights Initiative should not be circulated for signatures because it violates the Missouri Constitution by seeking to trick and defraud Missouri voters in attempting to ban an array of equal opportunity programs.",06 Morality and Justice,Victim,voters,,defraud,voters,Elections,defraud,Theft,3017583.0,,,defraud Missouri,defraud Missouri,"[[' dishonest', ' immoral', ' criminal']]","[[' gets arrested', ' PersonX is arrested.', ' PersonX gets caught.']]","[[' none', ' to get rich', ' to be rich']]","[[' none', ' to have a plan', ' to have money']]","[[' guilty', ' like a criminal', ' like a fraudster']]","[[' PersonX steals money from the bank', ' PersonX steals from the bank', ' PersonX steals money from a bank']]","[[' to get away with it', ' to get out of jail', ' to hide the evidence']]"
212,212,210,Politicians claim that gun rights are dangerous and so they must be limited.,01 Health and Safety,Threat,gun rights,,dangerous,gun rights,Gun Rights,dangerous,Physical Harm,2378677.0,,,dangerous and,dangerous and,"[[' dangerous', ' violent', ' aggressive']]","[[' PersonX gets arrested.', ' none', ' PersonX is dangerous.']]","[[' none', ' to be dangerous', ' to be dangerous.']]","[[' none', ' to be dangerous', ' to have a criminal record']]","[[' dangerous', ' scared', ' bad']]","[[' PersonX is a criminal.', ' PersonX is a psychopath.', ' PersonX is a dangerous person.']]","[[' to get away from the situation', ' to hurt someone', ' to get away from everyone']]"
213,213,1273,"The hostility of many conservatives to government ""giveaways"" reflects a hintergedanke sentiment that helping the poor only strengthens poverty, and that making it hell on earth to be a poor person is the best way to fight poverty.",05 Engineering and Business: Engineering,Built,poverty,,strengthens,poverty,Poverty,strengthens,Building/Strength,3121153.0,,,"strengthens poverty,","strengthens poverty,","[[' immoral', ' irresponsible', ' cruel']]","[[' gets arrested', ' none', ' PersonX gets arrested']]","[[' none', ' to be rich', ' to make people poor']]","[[' none', ' to have a lot of money', ' to make a plan']]","[[' guilty', ' sad', ' powerful']]","[[' PersonX wants to help the poor', ' PersonX wants to be rich', ' PersonX wants to help people']]","[[' to get rich', ' to be rich', ' to make money']]"
214,214,1278,The August 1993 Arusha Peace Accords between the RPF and the government stipulated a continuation of the system of coalition government.,05 Engineering and Business: Engineering,Built,government,,system,government,Government,system,Machine,2666138.0,,,system of,system of,"[[' smart', ' intelligent', ' capable']]","[[' none', ' PersonX gets a promotion.', ' PersonX gets a promotion']]","[[' to be organized', ' to be efficient', ' to have a system']]","[[' none', ' to know the system', ' to have a system']]","[[' good about themselves', ' good about themselves.', ' satisfied']]","[[' PersonX creates a new system', ' PersonX creates a system of their own', ' PersonX creates a system']]","[[' to make sure everything is in order', ' to make a plan', ' to make sure everything is working correctly']]"
215,215,862,"Shotgun News columnist Jeff Knox wrote, ""The gun rights community should make every effort to see to it that Holder's nomination is withdrawn or rejected.""",03 Conflict,Side,gun rights,,community,gun rights,Gun Rights,community,Family,2218878.0,,,community should,community should,"[[' sociable', ' responsible', ' caring']]","[[' none', "" PersonX's community becomes stronger."", "" PersonX's community becomes stronger""]]","[[' to be a part of the community', ' to be a part of something', ' to be a part of a community']]","[[' none', ' PersonX needs to know what to do.', ' PersonX needs to know how to do it.']]","[[' good about themselves', ' good about themselves.', ' happy']]","[[' PersonX has no friends.', ' PersonX is not allowed to be in the community.', ' PersonX is not allowed to leave the community.']]","[[' to be a part of the community', ' to be part of the community', ' to be a part of something']]"
216,216,1435,"Poverty robs people of dignity, hope, and the power to determine their own future.",06 Morality and Justice,Criminal,poverty,,robs,Poverty,Poverty,robs,Crime/Theft,159685.0,,,robs people,robs people,"[[' criminal', ' violent', ' mean']]","[[' gets arrested', ' PersonX is arrested.', ' PersonX is arrested']]","[[' to be rich', ' to get money', ' to get rich']]","[[' to get a gun', ' to have a plan', ' to have a car']]","[[' guilty', ' sad', ' guilty.']]","[[' PersonX gets caught by the police', ' PersonX gets caught by the cops', ' PersonX is a criminal']]","[[' to go to jail', ' to get away with it', ' to get away from the scene']]"
217,217,335,Commonwealth Private Bank can help you build and protect your personal wealth.,01 Health and Safety,Threatened,personal wealth,,protect,personal wealth,Wealth,protect,Physical Harm/Protection,2080258.0,,,protect your,protect your,"[[' protective', ' helpful', ' strong']]","[[' none', ' PersonX protects PersonY.', ' PersonX protects PersonY']]","[[' to be a good friend', ' to be helpful', ' to be a good person']]","[[' none', ' to know what to do', ' to know how to protect you']]","[[' protective', ' safe', ' helpful']]","[[' PersonX is a police officer.', ' PersonX is a police officer', ' PersonX is a cop.']]","[[' to make sure you are safe', "" to make sure you're safe"", ' to make sure they are safe']]"
218,218,232,Wealth injures talent more than poverty.,01 Health and Safety,Threat,Wealth,,injures,Wealth,Wealth,injures,Physical Harm,3123041.0,,,injures talent,injures talent,"[[' careless', ' talented', ' irresponsible']]","[[' PersonX loses their talent.', ' PersonX gets fired.', ' PersonX loses talent.']]","[[' none', ' to be a failure', "" to hurt someone's feelings""]]","[[' none', ' to have a talent', ' to do something stupid']]","[[' sad', ' hurt', ' sad.']]","[[' PersonX falls off the stage', ' PersonX falls off a cliff', ' PersonX falls off a ladder']]","[[' to make amends', ' to get a new talent', ' to get a new job']]"
219,219,1338,"Fundamentally the first step in seeking to market democracy is to try and distill democracy in the term laid out in marketing theory, however this is no easy task.",05 Engineering and Business: Resource,Change Type,IMPROVE,,distill,democracy,Democracy,distill,Resource,1973335.0,,,distill democracy,distill democracy,"[[' smart', ' intelligent', ' thoughtful']]","[[' none', ' PersonX is elected president.', ' PersonX makes a difference.']]","[[' to be a good person', ' to be a good citizen', ' to be a good leader']]","[[' none', ' to understand democracy', ' to understand the situation']]","[[' good about themselves', ' accomplished', ' good about themselves.']]","[[' PersonX writes a book about democracy', ' PersonX writes a book on democracy', ' PersonX writes a book about politics']]","[[' to make a statement', ' to be a good leader', ' to be a leader']]"
220,220,1297,The scramble by liberal anti-gun Democrats to spin this story away from its crumbling gun control cornerstone is not passing the smell test.,05 Engineering and Business: Engineering,Component,gun control,[component] cornerstone,cornerstone,gun control,Control of Guns,cornerstone,Building,2376967.0,,,[component] cornerstone,component cornerstone,"[[' responsible', ' strong', ' important']]","[[' none', ' PersonX is a part of a team.', ' PersonX is a part of a team']]","[[' none', ' to be a part of something', ' to be a part of a team']]","[[' none', ' to know how to do it', ' to know how to build it']]","[[' proud', ' happy', ' satisfied']]","[[' PersonX builds a house', ' PersonX builds a building', ' PersonX builds a new house']]","[[' to be a part of a team', ' to be a part of something', ' to be a part of the team']]"
221,221,1035,"The caption, ""Democracy Wins,"" became a popular meme amid the liberal euphoria that broke out on election night.",03 Conflict,Winner,Democracy,,Wins,Democracy,Democracy,Wins,Game,761004.0,,,,,"[[' victorious', ' competitive', ' talented']]","[[' PersonX wins the game.', ' PersonX wins the game', ' PersonX gets a trophy.']]","[[' none', ' to be the best', ' to win']]","[[' to train hard', ' to practice', ' none']]","[[' happy', ' proud', ' accomplished']]","[[' PersonX wins the game', ' PersonX wins the race', ' PersonX plays the game']]","[[' to celebrate', ' to celebrate the win', ' to celebrate with friends']]"
222,222,550,My concern is that if the US continues on the big government trajectory many will go outside the US to create their wealth.,02 Journey,Goal,government,,trajectory,government,Bureaucracy/Government,trajectory,Movement,761980.0,,,trajectory many,trajectory many,"[[' determined', ' responsible', ' adventurous']]","[[' none', ' PersonX is seen by many', ' PersonX is seen by many people']]","[[' none', ' to be successful', ' to be a leader']]","[[' none', ' to have a plan', ' to know what they want']]","[[' happy', ' satisfied', ' happy.']]","[[' PersonX has a lot of friends', ' PersonX sees a lot of stars', ' PersonX sees a lot of things']]","[[' to be successful', ' to make a plan', ' to get a job']]"
223,223,1345,Dayton said the proposed drop in the state sales tax rate to 5.5 percent would move Minnesota from 7th highest sales tax to 27th Dayton said the new sales taxes and rate would generate $2 billion in tax revenue.,05 Engineering and Business: Resource,Extractor,sales taxes,,generate,sales taxes,Taxation,generate,Energy,158495.0,,,generate $2,generate $2,"[[' hardworking', ' hard-working', ' hard working']]","[[' PersonX makes a lot of money.', ' PersonX makes a lot of money', ' PersonX makes a profit.']]","[[' to make money', ' to earn money', ' to make money.']]","[[' to work hard', ' to have a job', ' to make a plan']]","[[' happy', ' accomplished', ' satisfied']]","[[' PersonX buys a lottery ticket', ' PersonX buys a new car', ' PersonX sells a lot of things']]","[[' to spend the money', ' to save the money', ' to buy a new car']]"
224,224,1460,"Druckenmiller added: ""The 50 percent law punishes democracy.""",06 Morality and Justice,Enforcer,The 50 percent law,[enforcer] punishes,punishes,democracy,Democracy,punishes,Crime,155499.0,,,[enforcer] punishes,enforcer punishes,"[[' violent', ' mean', ' strong']]","[[' gets yelled at', ' PersonX is punished.', ' PersonX gets arrested.']]","[[' to punish someone', ' to punish someone.', ' to punish']]","[[' to find someone to punish', ' none', ' to be in charge']]","[[' powerful', ' satisfied', ' angry']]","[[' PersonX yells at PersonY', ' PersonX yells at PersonY for stealing', ' PersonX yells at PersonY to stop stealing']]","[[' to punish someone else', ' to punish others', ' to make sure they are punished']]"
225,225,1347,"But to the extent that government performs its limited social function that of protecting society from external enemies and maintaining internal peace and order by eliminating social predators the cost of supporting government workers can be born out of the increased productivity that a limited, well-run government will generate.",05 Engineering and Business: Resource,Extractor,government,,generate,government,Government,generate,Energy/Machine,405726.0,,,,,"[[' creative', ' intelligent', ' smart']]","[[' PersonX makes a lot of money.', ' PersonX makes a lot of money', ' PersonX makes money.']]","[[' to make money', ' to be creative', ' to make money.']]","[[' none', ' to know how to do it', ' to know how to generate']]","[[' accomplished', ' happy', ' satisfied']]","[[' PersonX writes a report', ' PersonX writes a paper', ' PersonX creates a new product']]","[[' to make a lot of money', ' to make money', ' to sell the product']]"
226,226,55,Guns cure everything.,01 Health and Safety,Protection,Guns,,cure,Guns,Guns,cure,Medicine,3123945.0,,,cure everything.,cure everything.,"[[' helpful', ' smart', ' skilled']]","[[' PersonX becomes famous.', ' none', ' PersonX gets a promotion.']]","[[' to be helpful', ' to be a doctor', ' to be the best']]","[[' to be a doctor', ' to have a cure', ' none']]","[[' happy', ' accomplished', ' good']]","[[' PersonX is a doctor.', ' PersonX is a doctor', ' PersonX is a scientist.']]","[[' to make everyone happy', ' to continue curing people', ' to continue curing']]"
227,227,403,True to a point but might I point out the same type of suppositions are used to attack gun rights.,01 Health and Safety,Threatened,gun rights,,attack,gun rights,Gun Rights,attack,Struggle/War,2165839.0,,,attack gun,attack gun,"[[' violent', ' aggressive', ' brave']]","[[' PersonX gets shot.', ' PersonX gets arrested.', ' PersonX gets shot']]","[[' to hurt someone', ' to kill someone', ' to hurt someone.']]","[[' to have a gun', ' none', ' to get the gun']]","[[' angry', ' scared', ' happy']]","[[' PersonX sees a gun on the ground.', ' PersonX sees a gun on the ground', ' PersonX sees a gun in the store.']]","[[' to run away', ' to shoot the gun', ' to run away from the scene']]"
228,228,1630,Future Health Care In America: The Abyss Of Gun Rights BY Herschel Smith,12 High and Low,Level,LOW,,Abyss,Gun Rights,Gun Rights,Abyss,Abyss,2376896.0,,,Abyss Of,Abyss Of,"[[' sadistic', ' brave', ' scared']]","[[' none', ' PersonX falls into the abyss', ' PersonX falls into the abyss.']]","[[' none', ' to be evil', ' to be alone']]","[[' none', ' to go to the Abyss', ' to go to the place']]","[[' sad', ' scared', ' happy']]","[[' PersonX goes to the bottom of the ocean', ' PersonX goes to the bottom of the sea', ' PersonX goes to a haunted house']]","[[' to get out of the Abyss', ' to get out of there', ' to get out of it']]"
229,229,1033,I am more worried that all this victory for guns is going to lead to a shadow assault on ammunition.,03 Conflict,Winner,guns,,victory,guns,Guns,victory,Game,2377482.0,,,victory for,victory for,"[[' victorious', ' successful', ' determined']]","[[' PersonX wins the game.', ' PersonX wins the game', ' PersonX wins the competition.']]","[[' none', ' to win', ' to be successful']]","[[' to work hard', ' none', ' to train hard']]","[[' happy', ' proud', ' accomplished']]","[[' PersonX wins the game', ' PersonX wins the race', ' PersonX wins a game']]","[[' to celebrate', ' to celebrate the victory', ' to celebrate with friends']]"
230,230,1408,A gun can't kill anyone.,06 Morality and Justice,Crime,gun,,kill,gun,Guns,kill,Physical Harm,2672670.0,,,kill anyone.,kill anyone.,"[[' violent', ' mean', ' murderous']]","[[' gets arrested', ' PersonX commits a crime.', ' PersonX is arrested.']]","[[' to hurt someone', ' to kill someone', ' to be a killer']]","[[' to get a gun', ' to have a gun', ' to have a weapon']]","[[' guilty', ' sad', ' angry']]","[[' PersonX is a murderer.', ' PersonX is a murderer', ' PersonX is in prison.']]","[[' to hide from the police', ' to get away with it', ' to get away from the scene']]"
231,231,1582,And maybe Thiel's libertarian utopia could become a reality as democracy is buried once and for all.,10 Human Life Cycle and Family Relations,Entity,democracy,[entity] is buried,is buried,democracy,Democracy,buried,Life Stage,,,,[entity] is buried,entity is buried,"[[' dead', ' sad', ' buried']]","[[' PersonX is buried', ' PersonX is buried.', "" PersonX's body is buried""]]","[[' none', ' to be buried', ' to be cremated']]","[[' none', ' to have died', ' to be dead']]","[[' sad', ' sad.', ' dead']]","[[' PersonX dies', ' PersonX is buried', ' PersonX is dead']]","[[' to go to heaven', ' to rest in peace', ' to be buried']]"
232,232,1675,Well constrast this to our current government run system where crimnal proceedings take many years and mountains of money.,12 High and Low,Scale,money,,mountains,money,Wealth,mountains,Hazardous Geographic Feature,53244.0,,,mountains of,mountains of,"[[' strong', ' capable', ' determined']]","[[' none', ' PersonX is exhausted', ' gets tired']]","[[' none', ' to be a mountain climber', ' to have a lot of things']]","[[' none', ' to have a mountain to climb', ' to have mountains to climb']]","[[' happy', ' satisfied', ' proud']]","[[' PersonX climbs a mountain', ' PersonX builds a mountain', ' PersonX builds a mountain house']]","[[' to take a nap', ' to take a shower', ' to take a break']]"
233,233,482,"Minimum wage limits the employer/employee relationship to protect the weaker party, the employee.",02 Journey,Barrier,Minimum wage,,limits,Minimum wage,Money,limits,Confinement,595921.0,,,limits the,limits the,"[[' controlling', ' strict', ' careful']]","[[' none', ' gets yelled at', ' PersonX is restrained']]","[[' to be safe', ' to be careful', ' to be responsible']]","[[' none', ' to know what they want to limit', ' to know how much to limit']]","[[' good about themselves', ' satisfied', ' good about themselves.']]","[[' PersonX has too much to do.', ' PersonX has too many things to do.', ' PersonX has too much to do']]","[["" to make sure it's safe"", "" to make sure they don't get caught"", "" to make sure it's done right""]]"
234,234,383,"Every time someone protects taxation they protect violence, because taxation will never be voluntary.",01 Health and Safety,Threatened,taxation,,protects,taxation,Taxation,protects,Protection,3125324.0,,,protects taxation,protects taxation,"[[' responsible', ' generous', ' protective']]","[[' PersonX gets a raise.', ' PersonX gets a raise', ' none']]","[[' to be a good citizen', ' to be a good person', ' to be fair']]","[[' none', ' to be a tax collector', ' to understand the law']]","[[' good about themselves', ' good about themselves.', ' happy']]","[[' PersonX is a tax collector.', ' PersonX is a tax collector', ' PersonX wants to be a good citizen']]","[[' to get a raise', ' to be a good citizen', ' to make sure everyone pays taxes']]"
