,Sentence,metaphore,target_domain,source_domain,highlighted_aspect,PartOf,Causes,IsA,DefinedAs
120,"Even if we low ball the numbers, defensive use of a firearm by otherwise lawful individuals is not as rare as criminal abuse of a firearm.",abuse,Guns,Crime/Physical Harm,Victim,"[' none', ' get arrested', ' get arrested for it']","[' violent', ' defensive', ' dangerous']","[' even though it is illegal, it is not illegal to use a gun.', ' even though it is illegal, it is not illegal to own a gun.', ' even though it is illegal, it is not illegal.']","[' none', ' defend self', ' defend themselves']"
121,view all Wealth protects the rich;Poverty destroys the poor.But the rich and the poor have this in common:The lord made them both.,destroys,Poverty,Natural Physical Force/Physical Harm,Threat,"[' none', ' have more money than the poor', ' have more than the poor']","[' rich', ' wealthy', ' greedy']","[' none', ' the poor have no power', ' the poor are not as rich']","[' none', ' have more money than the poor', ' the poor to be poor']"
122,Barack Obama's historical win to become president also made history at the world's biggest ad competition where his election campaign won one of the most coveted Cannes awards.,won,Elections,Competition/Game,Winner,"[' win the award', ' win the competition', ' get elected president']","[' proud', ' successful', ' victorious']","[' win the award', ' win the election', ' win the competition']","[' win the award', ' win the election', ' get elected president']"
123,"For years, the draconian ordinance supported by Mell and enforced by Daley has terrorized Chicago gun owners.",terrorized,Guns,Emotion Experiencer/Monster,Victim,"[' have to pay for it', ' get arrested', ' have to pay fines']","[' for the law to be enforced', ' for the law to be followed', ' for the law to be broken']","[' gun control', ' gun control laws', ' for years']","[' get arrested', ' gun control laws', ' for years']"
124,"But in general people greatly over-do the caution and doubt thing, to the great damage of democracy, my main point in #24 above.",damage,Democracy,Physical Harm,Threatened,"[' none', ' people make mistakes', ' people are too trusting']","[' cautious', ' scared', ' careless']","[' people are afraid of the consequences of what they do', ' people are afraid of the consequences of what they do.', ' people are afraid of the consequences of their actions']","[' none', ' people are afraid of the consequences', ' people are afraid of the consequences.']"
125,"The American gun owner will surely endure Draconian gun laws and confiscations, the ATF will get more funding and the anti-gun bigots will continue to dance in the blood of gun control victims.",victims,Control of Guns,Crime,Crime,"[' the gun owner is not allowed to own a gun', ' the gun owner is not allowed to own a gun.', ' the gun owner is not allowed to have a gun']","[' the law to be enforced', ' the gun owner to be safe', ' the law to be enforced.']","[' the gun owners to be safe', ' the gun owner to be safe', ' the gun owner to have a gun']","[' the gun owner is not allowed to own a gun', ' the gun owner is not allowed to own a gun.', ' the gun owner is not allowed to have a gun']"
126,The official poverty rate does not capture the depth of their economic problems.,capture,Poverty,Forceful Extraction,Extractor,"[' get a job', ' none', ' get a loan']","[' the poor to be able to pay their bills', ' the poor to have a better life', ' the poor to be able to pay their bills.']","[' get a job', ' people to be poor', ' none']","[' get a job', ' get a loan', ' none']"
127,"Bruce Springsteen and Pete Seeger have recorded the folk classic ""Hobo's Lullaby"" for ""Give US Your Poor,"" a multi-artist CD devoted to fighting homelessness.Appleseed Recordings will release the disc Sept. 25.",fighting,Poverty,Struggle/War,Side,"[' listen to the song', ' listen to song', ' none']","[' happy', ' music', ' a song']","[' listen to the song', ' listen to song', ' listen to the lyrics']","[' listen to the song', ' listen to', ' listen to song']"
128,Franken was accused of trying to steal the election.,steal,Elections,Theft,Property,"[' none', ' get arrested', ' they get arrested']","[' PersonX is accused of trying to steal the election.', ' PersonX is accused of trying to steal the election', ' PersonX is accused of stealing the election.']","[' accused of stealing the election', ' accused of election fraud', ' accused of stealing election']","[' get arrested', ' none', ' vote for person']"
129,"Restoring the right to vote strengthens democracy by increasing voter participation, helps people reintegrate into their communities after serving sentences, and gives those convicted a political voice.",strengthens,Democracy,Building/Strength,Built,"[' get out of jail', ' have a voice', ' get out of prison']","[' free', ' proud', ' responsible']","[' people to vote for', ' people to vote for them', ' people to vote']","[' get out of jail', ' get out of prison', ' get a new job']"
130,"Comment pages: « Previous 1 2 Goodbye Hillary and the Clinton lying machine, but for God's sake don't drop out of your life long addiction of campaigning for ultimate power.",addiction,Elections,Addiction,Threat,"[' get out of the way', ' get a new job', ' none']","[' bad about themselves', ' angry', ' bad for the country']","[' get out of the way', ' get out of the way.', ' get out of the habit']","[' get out of the way', ' none', ' get a new job']"
131,The 2ND AMENDMENT relief should never be sought: it is an avenue when all law and other means of recourse fails us.,relief,Gun Rights,Medicine,Protection,"[' the 2nd amendment to the constitution', ' the 2nd amendment to the law', ' the 2nd amendment to the law is not applicable']","[' frustrated', ' legal', ' angry']","[' frustrated', ' angry', ' legal']","[' none', ' the law to be broken', ' the law is broken']"
132,I for one am furious about the criminals running things setting up a scheme to steal our second amendment.,steal,Gun Rights,Theft,Property,"[' get arrested', ' none', ' get caught']","[' I have a gun.', ' I have a gun to protect me.', ' I have a gun to defend meself.']","[' get arrested', ' gun control', ' gun control laws']","[' get arrested', ' get caught', ' get rich']"
133,"Meanwhile, those who benefit from the structures which produce poverty continue to benefit.",produce,Poverty,Building,Product,"[' none', ' have more money', ' have less money']","[' none', ' they are able to buy more things', ' they are able to buy a new house']","[' none', ' get rich', ' people to be poor']","[' none', ' get rich', ' have less money']"
134,The authors challenge the U.S. government to lead the tax competition battle in the international marketplace.,battle,Taxation,War,Conflict,"[' the government to lead the competition', ' the government to be in charge', ' the government to lead the way']","[' the government to lead the competition', ' the government to be in charge', ' the government to lead the way']","[' the government to lead the competition', ' the government to be in charge', ' the government to lead the way']","[' the government to lead the competition', ' the government to be in charge', ' the government to lead the way']"
135,An output tax alleviates the consumption and production distortions which arise in the absence of a perfect insurance market.,alleviates,Taxation,Medicine,Protection,"[' get a better deal', ' get paid for it', ' none']","[' an incentive for people to work hard', ' an incentive for people to buy insurance', ' an incentive for people to work harder']","[' tax on goods and services', ' tax on goods and services that are not used', ' tax on goods and services that are not used by people']","[' tax on goods and services', ' tax on goods and services that are used to pay for insurance', ' tax on goods and services that are used to pay for insurance.']"
136,"However, guns destroy the natural order of things.",destroy,Guns,Physical Harm,Criminal,"[' none', ' have to pay for it', ' have to pay for the damage']","[' gun violence is illegal in the United States.', ' gun violence is illegal in the United States', ' gun violence is illegal in the US.']","[' none', ' gun violence', ' gunpowder']","[' kill people', ' have a gun in their hand', ' have to pay for it']"
137,"On the other side of the paradox, more people keeping and bearing arms means there's a larger constituency to fight new gun control, so I'm not certain it really helps our opponents any.",fight,Control of Guns,Struggle,Threatened,"[' on the other side of the paradox', ' on the other side of the debate', ' on the other side of the coin']","[' on the other side of the paradox', ' on the other side of the debate', ' on the side of the law']","[' on the other side of the paradox', ' on the other side', ' on one side of the paradox']","[' on the other side of the paradox', ' on the other side of the debate', ' on the other side of the coin']"
138,At some point more white kids will eventually be killed and yet another opportunity will present itself to knock the gun control baseball out of the park.,baseball,Control of Guns,Game,Aid,"[' gun control', ' none', ' gun control laws']","[' violent', ' angry', ' scared']","[' gun control', ' gun control laws', ' at least one person']","[' at some point', ' gun control', ' gun control laws']"
139,"In 1962 â€“ prior to Lyndon Johnson's War on Poverty â€“ The ""Gray Areas Project"" was the first attempt to combat poverty across America.",combat,Poverty,War,Side,"[' get a job', ' have a better life', ' have to pay for it']","[' in need of help', ' in need of assistance', ' in need of aid']","[' have a better life', ' get a job', ' have less money']","[' in the war on poverty', ' in the middle of a war', ' get a job']"
140,Their visual differences spoke volumes of the racial and class cleavages that have define the historical struggle of democracy in Bolivia.,struggle,Democracy,Struggle,Conflict,"[' none', ' their eyes are different', ' their skin color changed']","["" their eyes are different from each other's"", ' their eyes are different from each other', ' their skin color is the same']","[' their skin color', ' their eyes are different', ' their skin tone']","[' none', ' their eyes are different', ' their skin color']"
141,"In addition to democracy, safeguarded constitution, there should also be separation of powers.",safeguarded,Democracy/Government,Protection,Threatened,"[' have freedom of speech', ' none', ' have freedom of expression']","[' in control', ' in power', ' in charge']","[' in power', ' in control', ' in charge']","[' make sure people are safe', ' make sure everyone is safe', ' none']"
142,These cry baby gun control advocates are always crying wolf and every gun gets nastier and more evil to them.,evil,Guns,Monster,Threat,"[' none', ' they get their way', ' they get a new gun']","["" they don't know what they are talking about"", "" they don't know what they're talking about"", "" they don't know what they are talking about.""]","[' gun control', ' none', ' gun control advocates']","[' none', ' they get their way', ' they get a new gun']"
143,"For those owners that already are educated in the regulations (AKA pilots/owners) and understand what it takes to maintain and fly a safe aircraft, this new regulation would be a breeze.",breeze,Bureaucracy,Natural Physical Force,Weather,"[' none', ' learn the rules', ' get a license']","[' for the safety of the aircraft', ' for the safety of the people', ' for the safety of others']","[' for the safety of the aircraft', ' for the safety of the people', ' for the safety of others']","[' for the safety of the aircraft', ' for people to be safe', ' for the safety of the people']"
144,"$20,000 minimum new money advanced at closing.",advanced,Wealth,Forward Movement,Agent,"[' pay off debt', ' get money back', ' get money from bank']","[' $20,000 minimum', ' $20,000', ' $100,000']","[' $20,000', ' $20,000 minimum', ' $100,000']","[' purchase a house', ' money to be spent', ' pay off debt']"
145,"it really matters not because there are over 300 million guns legally owned in the USA. there is no evidence that any gun law would decrease crime and most of those that are proposed by anti gun extremists will make things worse. then again most gun laws are designed to harass gun owners, not impede criminals",decrease,Control of Guns,Downward Movement,Protection,"[' none', ' get a restraining order', ' get arrested']","[' none', ' get arrested', ' gun control laws']","[' none', ' get arrested', ' gun control laws']","[' none', ' get a restraining order', ' get arrested']"
146,Deliver him from the bondage of being a beggar.,bondage,Poverty,Confinement/Enslavement,Barrier,"[' give money to beggar', ' get a job', ' none']","[' God will help him.', ' give him a job', ' give him a job.']","[' pray to God', ' give him a job', ' pray to god']","[' give him a job', ' get a job', ' pray to God']"
147,Taxpayers are addicted to consumer television which reintroduced discredited nineteenth century laissez-faire liberalism and neo-feudalism on a society whose common sense lacked proper understanding of words.,addicted,Taxation,Addiction,Threatened,"[' none', ' get addicted', ' get addicted to']","[' tax payer', ' tax payers', ' tax payer money']","[' tax payer', ' tax payers', ' tax payer money']","[' tax payer', ' tax payers', ' tax payer money']"
148,there has been no evidence that those who can get guns legally (there are still tons of red tape) are doing that Most of it is from the same mopes who were causing crime before. what we do know is that there is a paucity of evidence that the anti gun nuts are able to find in the USA that demonstrate that gun bans or restrictions decrease crime. that's why those turds mainly try to apply other countries' statistics to the USA which never have any useful information,decrease,Control of Guns,Downward Movement,Aid,"[' none', "" to apply other countries' statistics to the USA"", "" to apply other countries' statistics to the USA.""]","[' none', "" they don't have any evidence"", "" they don't have any evidence.""]","[' none', "" they don't have any evidence"", "" they don't have any evidence.""]","[' none', "" they don't know what they are talking about"", "" they don't know what they are talking about.""]"
149,The Senate is a bulwark against an avalanche of really extreme legislation.,bulwark,Government,Protection,Protection,"[' none', ' the bill to be passed', ' the government to be safe']","[' the bill to be passed', ' the bill to pass', ' the government to be safe']","[' the people to be safe', ' the law to be followed', ' the law to be done right']","[' the government to do its job', ' the people to be safe', ' the government to be safe']"
150,"Share Opinions of presidential hopeful Rudolph Giuliani vary at Chelsea's West Side Rifle and Pistol Range: The staff and customers describe the former mayor's gun control journey as everything from ""opportunistic"" to ""realistic.""",journey,Control of Guns,Journey,Agent,"[' none', ' they buy a gun', ' they buy a new gun']","[' open minded', ' happy', ' proud']","[' none', ' share opinions', ' share opinion']","[' none', ' share opinions', ' share opinion']"
151,"Popularity justifies any behavior, and for this reason no social or moral standards withstand the assault of democracy.",assault,Democracy,Physical Harm,Criminal,"[' none', ' get rich', ' people to like']","[' immoral', ' popular', ' social acceptance']","[' none', ' personx is a sociopath', ' personx is a sociopath.']","[' none', ' get rich', ' people to like']"
152,"NEW YORK (CNN/Money) - ""Americans' overall income shrank for two consecutive years after stocks plunged in 2000, the first time that has effectively happened since the current tax system was put in place during World War II, according to a published report Thursday...",shrank,Wealth,Downward Movement,Resource,"[' pay more taxes', ' none', ' pay less taxes']","[' income tax rate increases', ' tax rate increases', ' income tax rates increase']","[' pay more taxes', ' buy a new car', ' buy a new house']","[' pay more taxes', ' get a tax cut', ' none']"
153,"It was not a person the Occupy Wilmington group mourned, but what they call the downfall of democracy.",downfall,Democracy,Downward Movement/Struggle,Loser,"[' none', ' people get angry', ' people are killed']","[' mournful', ' mourned', ' sad']","["" it's time to move on to something else"", "" it's time to move on to the next thing"", "" it's time to move on""]","["" it's time to move on to something else"", "" it's time to move on"", "" it's time to move on to something better""]"
154,"Democracy Besieges Iraq The pro-occupation Washington Times began their coverage of today's illigitmate 'election-under-occupation' in Iraq with these words,",Besieges,Democracy,Struggle/War,Threat,"[' none', ' they get a new president', ' they get a new leader']","[' proud', ' happy', ' hopeful']","[' the people to win the election', ' the people to be free', ' the people to vote for them']","[' none', ' they get their way', ' they get a new president']"
155,Just because a kid's stupid and irresponsible enough to steal a gun doesn't make law abiding gun owners forced to swallow your gun control pill.Ã¯»ØŸ,pill,Control of Guns,Medicine,Protection,"[' get a restraining order', ' none', ' get arrested']","[' irresponsible', ' stupid', ' scared']","[' just like everyone else', ' just like everyone else.', ' gun control']","[' none', ' gun control', ' gun control laws']"
156,Strategies of Transformation Toward a Multicultural Society: Fulfilling the Story of Democracy,story,Democracy,Story,Topic,"[' none', ' learn new things', ' learn about history']","[' people to be free', ' people to be inclusive', ' people to be happy']","[' people to be happy', ' people to be free', ' learn from history']","[' learn about other cultures', ' learn about history', ' learn about politics']"
157,There IS an attempt to steal this election.,steal,Elections,Theft,Property,"[' none', ' get arrested', ' there is an election']","[' There is no evidence of fraud.', ' there is no way to steal an election', ' There is no evidence.']","[' there is a conspiracy to steal the election', ' there is no one to steal from', ' there is no way to stop it']","[' there is a conspiracy to steal the election', ' there is a conspiracy to steal the election.', ' there is a conspiracy']"
158,"Oh, yea, and don't forgetâ€_ a mountain of ammo to go with them.",mountain,Guns,Hazardous Geographic Feature,Scale,"[' make sure they have enough ammo', ' make sure they have enough ammunition', ' make sure they have enough ammo.']","[' make sure they have enough ammo', ' make sure they have enough ammunition', ' make sure they have enough ammo.']","[' make sure they have enough ammo', ' make sure they have enough ammunition', ' make sure they have enough ammo.']","[' make sure they have enough ammo', ' make sure they have enough ammunition', ' make sure they have enough ammo.']"
159,Taxes are a pillar of capitalism.,pillar,Taxation,Building,Component,"[' none', ' pay taxes', ' tax payers']","[' taxes are a waste of money', ' taxes are a waste of time', ' taxes are a waste of money.']","[' tax money', ' tax breaks', ' none']","[' pay taxes', ' tax the rich', ' tax money']"
160,It is a huge psychological victory for gun control and government that literally spells the end of firearm ownership when all opposition accepts gun control.,victory,Control of Guns,Struggle,Winner,"[' it is a victory for gun control', ' it is a victory for the government', ' it is a win for the government']","[' controlling', ' powerful', ' defeated']","[' it is a victory for gun control', ' it is a victory for the government', ' it is a win for the government']","[' gun control is illegal in the United States', ' gun control is illegal in the United States.', ' gun control is illegal in the US']"
161,The Death Tax is killing American family business,killing,Taxation,Physical Harm,Threat,"[' none', ' the family business to go out of business', ' the family business to go out of business.']","[' the death tax is killing american family business', ' the death tax is killing American family business', ' the death tax is killing the family business']","[' the death tax is killing American family business', ' the death tax is killing the family business', ' the death tax is killing business']","[' the death tax is killing American family business', ' the death tax is killing the family business', ' the death tax']"
162,"Henry Paulson, former Treasury Secretary, wanted for bamboozling the US Congress and robbing the taxpayer of $700 billion under false pretenses.",robbing,Taxation,Theft,Victim,"[' get arrested', ' none', ' criminalized']","[' guilty', ' criminal', ' immoral']","[' criminal', ' guilty', ' criminalized']","[' get arrested', ' none', ' criminalized']"
163,"I may be wrong here, but that's what I assume... Thank you!! It frustrates me that those who fight for ultimate gun rights deny this kind of stuff.",fight,Gun Rights,Struggle,Side,"[' none', ' I have a gun.', ' I am not sure.']","[' angry', ' responsible', ' happy']","["" I don't want to be wrong. It frustrates me to no end."", "" I don't want to be wrong. It frustrates me."", "" I don't want to hurt anyone's feelings.""]","[' none', ' gun control', ' I have a gun']"
164,"This, fellow Americans, was the Roar of Democracy, the Voice of Freedom, the Will of the People and the Soul of the Country.",roar,Democracy,Animal,Wild Animal,"[' people to listen to what they have to say', ' people to listen to what they have to say.', ' people to listen to the voice of the people']","[' patriotic', ' proud', ' powerful']","[' this is what the country is all about', ' this is what the country is made of', ' this is what the country is made out of']","[' this is the voice of the people', ' this is the voice of the people.', ' this is what the people want']"
165,"The corporation income tax damages the corporation, an invention of man that is indispensable to the maximum production of wealth.",damages,Taxation,Struggle,Threat,"[' none', ' the corporation to pay the tax', ' the corporation to pay the taxes']","[' the corporation to pay the tax', ' the corporation to pay the taxes', ' the corporation to be taxed']","[' the corporation to pay the tax', ' the corporation to pay the taxes', ' the corporation to be taxed']","[' the corporation to pay the tax', ' the corporation to pay the taxes', ' the corporation to be taxed']"
166,"If facilitated to grow in a strategic manner, tourism could also play a leading role in wealth creation as well as in poverty alleviation, Nhema said.",alleviation,Poverty,Disease/Medicine,Threat,"[' to grow in a strategic manner', ' to grow in a strategic manner.', ' to grow in a strategic way']","[' good for the environment', ' good for business', ' good for the community']","[' have a good time', ' get a job', ' have a good reputation']","[' to grow in a strategic manner', ' to grow in a strategic manner.', ' to grow in a strategic way']"
167,If that is true then gun control supports genocide.,supports,Control of Guns,Building,Component,"[' none', ' get killed', ' get shot']","[' If that is true, then gun control is immoral.', ' If that is true, then gun control is bad.', ' If that is true, then gun control is a bad thing.']","[' none', ' people to be safe', ' people to die']","[' none', ' get killed', ' get shot']"
168,Consumer-Driven Culture Is Killing Our Democracy,killing,Democracy,Physical Harm,Enemy,"[' consumerism is killing our democracy', ' none', ' consumerism is killing our democracy.']","[' PersonX is a victim of the culture.', ' PersonX is a victim of the consumer culture.', ' PersonX is a good person.']","[' consumerism is killing our democracy', ' consumerism is killing our democracy.', ' consumerism is destroying our democracy']","[' consumerism is killing our democracy', ' consumerism is destroying our democracy', ' consumerism is killing our democracy.']"
169,"Democracy hasn't saved many of these counties, so why must the United States continue to persist in democracy domination of the world?",domination,Democracy,Enslavement/Leader,Leader,"[' angry', ' sad', ' the world']","[' immoral', ' powerful', ' strong']","[' powerful', ' sad', ' happy']","[' democracy is not working', ' people to be free', ' none']"
170,"The four pillars of ILO's work, namely rights at work (without them, men and women will not be empowered to escape from poverty); employment (the principal route out of poverty is productive work); social protection (safeguards against poverty); and social dialogue (the participation of employers' and workers' organizations in shaping government policy for poverty reduction); are mutually reinforcing in addressing poverty reduction.",shaping,Government,Shape,Built,"[' get a job', ' none', ' the government to help']","[' the poor to have a better life', ' the poor to be able to work', ' the poor to have a better life.']","[' the poor to have a better life', ' the poor to be able to work', ' the poor to have a better life.']","[' get a job', ' none', ' the government to help']"
171,In plain English the Senator means that taxpayers need to part with more of their limited income to feed the ever growing spending addiction of the legislature.,addiction,Bureaucracy/Government,Addiction,Threatened,"[' none', ' in debt', ' get rich']","[' greedy', ' rich', ' responsible']","[' in need of more money', ' in debt', ' in need of money']","[' get more money', ' get a raise', ' none']"
172,"Cyclists carried banners with slogans like ""Money Kills"" as they cycled slowly into the city center, bringing traffic around the imposing Bank of England to a standstill.",Kills,Wealth,Physical Harm,Threat,"[' get arrested', ' get into trouble', ' have to wait for traffic']","[' angry', ' powerful', ' aggressive']","[' get out of the way', ' get out of the car', ' get out of breath']","[' get arrested', ' get into trouble', ' people get hurt']"
173,"This is an innovative and interactive online community forum for people involved in working with Public Service Agreement (PSA16) client groups to share ideas and information, and help shape government policy.",shape,Government,Shape,Built,"[' learn new things', ' get feedback from others', ' learn about the subject']","[' people to talk to', ' people to listen to them', ' people to listen to']","[' get feedback from others', ' have a voice', ' learn about the government']","[' get feedback from others', ' learn about the government', ' learn about the subject']"
174,"As government relief proved to be increasingly inadequate and inappropriate, private charity provided a vital life-line for the starving Irish poor.",relief,Government,Medicine,Protection,"[' none', ' charity', ' poor']","[' charitable', ' generous', ' poor']","[' poor', ' charitable', ' charity']","[' as a means to help the poor', "" as a result of the charity's work"", ' as a means to help the poor.']"
175,I use that loosely as there is no real strategy or objective for firearm owners in fighting gun control.,fighting,Control of Guns,Struggle,Conflict,"[' none', ' gun control', ' get a gun']","[' gun control is illegal in the United States.', ' gun control is illegal in the United States', ' gun control is illegal in the US.']","[' gun control', ' gun control laws', ' gun owners']","[' gun control', ' none', ' gun control laws']"
176,"I am therefore hijacking the terminology again, and declaring America on the edge of a gun control cliff.",cliff,Control of Guns,Abyss,Agent,"[' none', ' I want to make a point.', ' I want to make a statement.']","[' I am not a lawyer.', ' I am not a politician.', ' I have no authority.']","[' I am a gun control advocate.', ' I am a gun control activist.', ' I am not a lawyer.']","[' I am a gun control advocate.', ' I am a gun control activist.', ' I am not a lawyer.']"
177,Riley said accommodations taxes relieve local taxpayers of paying the costs of accommodating visitors.,relieve,Taxation,Physical Burden,Protection,"[' none', ' pay more taxes', ' pay taxes']","[' the government to be responsible for the costs of accommodating visitors', ' the government to pay for it', ' the government to be responsible for the cost of the event']","[' pay more taxes', ' none', ' pay for the service']","[' pay taxes', ' pay for the service', ' pay for the hotel']"
178,"Immigration reform stalled, gun control failed, and the fall was bogged down by the rocky rollout of his signature Affordable Care Act.",failed,Control of Guns,Competition,Loser,"[' get a new job', ' get a new job.', ' get a new one']","[' incompetent', ' frustrated', ' angry']","[' frustrated', ' defeated', ' bad']","[' have to deal with the consequences of their actions', ' have to deal with the consequences of their actions.', ' have to deal with the consequences of the failure']"
179,There will be a much larger flow of taxes going into the governmental coffers.,flow,Taxation,Body of Water/Movement,Beneficial,"[' pay more taxes', ' have less money', ' pay taxes']","[' there is more money in the bank', ' there is more money in the system', ' there will be less money']","[' there will be more money in the bank', ' there will be more money in the system', ' there will be more money']","[' pay more taxes', ' pay taxes', ' pay more taxes.']"
180,Governmental regulations burdened the producer.,burdened,Bureaucracy,Physical Burden,Barrier,"[' none', ' production costs go up', ' production costs increase']","[' government is too powerful.', ' government is too powerful', ' government is too powerful to be powerless']","[' government to be in charge', ' none', ' government to be in control']","[' production costs increase', ' none', ' government to make money']"
181,America isn't doing enough in the eyes of gun control.,eyes,Control of Guns,Human Body,Body,"[' none', ' gun control', ' gun violence']","[' America is not doing enough in the eyes of the world.', ' America is not doing enough in the eyes of gun control.', ' America is not doing enough in the eyes of the world']","[' gun control', ' gun violence', ' gun control laws']","[' gun control', ' gun violence', ' gun control laws']"
182,"John G. Kester, a Washington lawyer and former Defense Department official, says in jest that Congress ''overdosed on due process'' when it passed the Administrative Procedure Act.",overdosed,Government,Addiction,Threatened,"[' none', ' get fired', ' get a job']","[' no effect', ' no effect at all', ' none']","[' get a new job', ' none', ' get a job done']","[' none', ' get a new job', ' get a job']"
183,"The purpose of this article is to demonstrate, in some selected examples, how effective tax planning can accelerate the building of wealth for retirement and how ineffective tax planning can hold back even an astute investor.",building,Wealth,Building,Built,"[' none', ' get a good job', ' get a tax refund']","[' the tax plan to be effective', ' the tax plan to be successful', ' the investor to be able to retire']","[' the tax plan to be effective', ' the tax plan to be successful', ' the tax plan to be effective.']","[' the investor to save more money', ' none', ' the investor to be able to retire']"
184,"In some state the law is the property owner trumps the gun owner, in others the gun owner trumps the property owner.",trumps,Guns,Game,Aid,"[' in conflict', ' in power', ' in control']","[' powerful', ' controlling', ' legal']","[' in conflict', ' in power', ' in control']","[' in some states the gun owner trumps the property owner.', ' in some states the gun owner trumps the property owner', ' in some states it is illegal to own a gun']"
185,Nobody said that Democrats should lighten up or that gun control loses elections.,loses,Control of Guns,Competition,Loser,"[' none', ' have a good time', ' have a better life']","[' none', ' nobody said anything about it', ' nobody said anything to them']","[' none', ' nobody said anything about it', ' nobody said anything to them']","[' none', ' get a new job', ' get a job']"
186,I was raised with gun safety constantly being beat into my brain.,beat,Guns,Physical Harm,Winner,"[' none', ' have a gun in the house', ' have a gun in their house']","[' I am a gun owner.', ' I have a gun.', ' I was taught to be careful.']","[' I have a gun in my house.', ' I have a gun in the house.', ' I am a gun owner.']","[' I have a gun in my house.', ' I have a gun in my home.', ' I have a gun in the house.']"
187,"If everyone gets nailed on felony charges, at this point gun control wins.",wins,Control of Guns,Competition/Game,Winner,"[' none', ' get arrested', ' get a lawyer']","[' if they get caught', ' none', ' if they are convicted']","["" if they don't get caught, they don't get caught."", "" if they don't get caught, they don't get caught"", "" if they don't get caught, they don't go to jail.""]","[' none', ' get arrested', ' get a lawyer']"
188,Fighting the Poverty Draft,Fighting,Poverty,War,Side,"[' none', ' fighting poverty', ' fighting for poor']","[' fighting poverty', ' fighting the poverty draft', ' fighting for the poor']","[' fighting poverty', ' fighting for poor people', "" fighting for people's rights""]","[' fighting poverty', ' fighting for human rights', ' fighting for poor people']"
189,"I will be out in the city today, feeling the vinous veinous thrust of blood, the apple-red circulation of democracy, its carnal knowledge without wisdom.",circulation,Democracy,Blood Stream,Beneficial,"[' none', ' get drunk', ' get a job']","[' violent', ' powerful', ' responsible']","[' I want to see the city.', ' I want to see the world.', ' I want to see what they are doing']","[' none', ' blood', ' blood pressure']"
190,DeFazio Fights for Common Sense Reforms to Protect Taxpayers and the Environment from Hardrock Mining Giveaways,Protect,Taxation,Protection,Protection,"[' DeFazio is fighting for the environment.', ' DeFazio wants to help the environment.', ' DeFazio is fighting for the environment']","[' powerful', ' responsible', ' concerned']","[' DeFazio wants to protect the environment.', ' DeFazio is fighting for the environment.', ' DeFazio wants to protect the environment']","[' DeFazio wants to save the environment.', ' DeFazio wants to save the environment', ' DeFazio is fighting for the environment']"
191,The issue is serious enough to question the longevity or continuance of an agency so vital to the smooth flow of taxation within the United States.,flow,Taxation,Body of Water/Movement,Beneficial,"[' none', ' the government to be in charge', ' the government to be responsible for it']","[' responsible', ' concerned', ' worried']","[' the government to be in charge', ' the IRS to be in charge', ' the government to be responsible']","[' the government to be in charge', ' none', ' the IRS to be in charge']"
192,"But if there's one part of the poll that sums up what a terrible place Republican voters are in, emotionally, it's this: 49% of GOP voters nationally say they think that ACORN stole the election for President Obama.",stole,Elections,Theft,Property,"[' none', ' get angry', ' they get angry']","[' angry', ' upset', ' scared']","[' none', ' they are angry', ' get angry']","[' none', ' get angry', ' get arrested']"
193,"He continuously attacks the Constitution in the name of upholding it and ""bringing back"" the America that never was.",attacks,Government,Struggle/War,Threatened,"[' none', ' get elected', ' he gets elected']","[' he is not a good person', ' he is a dictator', ' he is not a good leader']","[' he is the leader of the free world', ' he is the leader of the free people', ' he is the leader of the free world.']","[' he gets elected president of the United States', ' he gets elected president of the country', ' he gets elected president of the United States.']"
194,The fact remains...handouts trump gun rights in California.,trump,Gun Rights,Game,Aid,"[' none', ' have less money', ' get a gun']","[' the law is unconstitutional', ' the law is broken', ' the law is not fair']","[' the law is broken', ' the law to be enforced', ' the law to be broken']","[' get a gun', ' get a job', ' none']"
195,Being pro-gun simply means you protect guns..... a slogan designed to get people to give up their rights and protect a perceived safety mechanism.,protect,Guns,Protection,Threatened,"[' being pro-gun', ' being a good person', ' being a gun owner']","[' protective', ' safe', ' defensive']","[' being a good person', ' being a gun owner', ' gun-loving people']","["" being pro-gun doesn't make sense"", "" being pro-gun doesn't make sense."", ' being pro-gun']"
196,Investments only deepen your wealth.,deepen,Wealth,Abyss,Built,"[' none', ' invest in stock market', ' invest in stocks']","[' invest wisely', ' invest in the stock market', ' invest in stocks']","[' invest in the stock market', ' invest wisely', ' invest in stocks']","[' invest in stock market', ' invest in stocks', ' invest in business']"
197,I won't glorify guns beyond that.,glorify,Guns,A God,God,"[' none', ' I am not a gun owner.', ' I am not a gun owner']","[' I am a pacifist.', "" I don't want to offend anyone."", ' I am a pacifist']","[' I am a pacifist.', "" I don't like guns."", ' I am a pacifist']","["" I don't want to hurt anyone's feelings."", "" I don't want to hurt anyone's feelings"", "" I don't want to hurt people's feelings.""]"
198,"Actually, we are talking about anything in the powers given to Congress which impacts firearms and I just gave you a raft of them.",impacts,Guns,Physical Harm,Threatened,"[' they want to know what they think about it', ' they want to know if they can do it again', ' they want to know if they can do it']","[' responsible', ' powerful', ' competent']","[' law-abiding', ' law abiding', ' law-abiding people']","[' gun control', ' none', ' gun control laws']"
