,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12,phrase_1,phrase_2,xAttr,xEffect,xIntent,xNeed,xReact,xReason,xWant,Clean CSR_xWant,Clean CSR_xIntent,Clean CSR_xAttr,Clean CSR_xReact,Clean CSR_xEffect,Clean CSR_xNeed,Clean CSR_xReason
51,51,51,328,Epidemic: Guns kill twice as many kids as cancer does,01 Health and Safety,Threatened,kids,kill [threatened],kill,Guns,Guns,kill,Physical Harm,,,,kill [threatened],kill threatened,"[[' violent', ' aggressive', ' mean']]","[[' gets arrested', ' PersonX commits a crime.', ' PersonX commits a crime']]","[[' to get revenge', ' to kill someone', ' none']]","[[' none', ' to have a gun', ' to be threatened']]","[[' guilty', ' angry', ' scared']]","[[' PersonX is afraid of the police.', ' PersonX is being threatened by a criminal.', ' PersonX is afraid of the consequences.']]","[[' to get away from the situation', ' to get revenge', ' to get away with it']]","Want:  to get revenge, to get away from the situation,  to get away with it","Intents:  to kill someone, to get revenge","Attributes:  mean, violent,  aggressive","Reactions:  scared,  angry, guilty","Effects:  speaker commits a crime, gets arrested","Needs:  to be threatened,  to have a gun","Reasons: speaker is afraid of the police,  speaker is being threatened by a criminal,  speaker is afraid of the consequences"
52,52,52,1386,Gun control is a crime.,06 Morality and Justice,Crime,Gun control,,crime,Gun control,Control of Guns,crime,Crime,2377035.0,,,,,"[[' criminal', ' violent', ' immoral']]","[[' PersonX commits a crime', ' PersonX commits a crime.', ' gets arrested']]","[[' none', ' to be a criminal', ' to get away with something']]","[[' none', ' to commit a crime', ' to have committed a crime']]","[[' guilty', ' guilty.', ' bad']]","[[' PersonX commits a crime', ' PersonX gets caught', ' PersonX gets arrested']]","[[' to get away with it', ' to get away from the crime scene', ' to get away from the police']]","Want:  to get away from the police, to get away with it,  to get away from the crime scene","Intents:  to be a criminal,  to get away with something","Attributes:  violent, criminal,  immoral","Reactions:  guilty, guilty,  bad","Effects: speaker commits a crime,  gets arrested,  speaker commits a crime","Needs:  to have committed a crime,  to commit a crime","Reasons: speaker commits a crime,  speaker gets arrested,  speaker gets caught"
53,53,53,13,"In the early 1990s, the public appetite for gun control may have been motivated more strongly by inner-city crime rates, and by the threat of crime in general, and Clinton’s 1994 bill addressed a broader issue of crime and security, marrying things like cop funding and tougher penalties to the sizable pillar of gun control.",01 Health and Safety,Beneficial,gun control,appetite for [beneficial],appetite for,gun control,Control of Guns,appetite,Food,,,,appetite for [beneficial],appetite for beneficial,"[[' hungry', ' curious', ' healthy']]","[[' PersonX eats a lot of food.', ' PersonX eats a lot of food', ' PersonX eats a lot of healthy food.']]","[[' none', ' to be healthy', ' to be healthy.']]","[[' none', ' to be hungry', ' to eat something']]","[[' satisfied', ' hungry', ' full']]","[[' PersonX eats a lot of vegetables', ' PersonX eats a lot of healthy food', ' PersonX eats a lot of food']]","[[' to eat healthy', ' to eat more', ' to eat something']]","Want: to eat healthy,  to eat something,  to eat more",Intents:  to be healthy,"Attributes:  healthy,  curious, hungry","Reactions:  hungry, satisfied,  full","Effects:  speaker eats a lot of healthy food, speaker eats a lot of food,  speaker eats a lot of food","Needs:  to eat something,  to be hungry","Reasons:  speaker eats a lot of healthy food, speaker eats a lot of vegetables,  speaker eats a lot of food"
54,54,54,87,"So that from this it may appear how much he sins in the Church, who, preferring himself and his children to Christ, preserves his wealth, and does not share an abundant estate with the poverty of the needy.",01 Health and Safety,Protection,wealth,,preserves,wealth,Wealth,preserves,Protection,135214.0,,,preserves his,preserves his,"[[' thoughtful', ' responsible', ' careful']]","[[' none', ' PersonX has a good reputation.', ' PersonX has a good reputation']]","[[' to be safe', ' to preserve something', ' to preserve something.']]","[[' none', ' to know how to preserve it', ' to have something to preserve']]","[[' happy', ' satisfied', ' proud']]","[[' PersonX has to go to work.', ' PersonX has to go to work', ' PersonX has to go to the hospital.']]","[[' to keep it safe', ' to keep it', ' to keep it safe.']]","Want:  to keep it safe,  to keep it, to keep it safe","Intents: to be safe,  to preserve something","Attributes:  responsible,  careful, thoughtful","Reactions:  satisfied, happy,  proud",Effects:  speaker has a good reputation,"Needs:  to know how to preserve it,  to have something to preserve","Reasons:  speaker has to go to work, speaker has to go to work,  speaker has to go to the hospital"
55,55,55,1495,Turning the Sandy Hook event into a gun control scapegoat is ridiculous.,06 Morality and Justice,Punished,the Sandy Hook event,,scapegoat,gun control,Control of Guns,scapegoat,Crime,2377040.0,,,scapegoat is,scapegoat is,"[[' scapegoat', ' mean', ' mean spirited']]","[[' none', ' gets yelled at', ' PersonX is punished']]","[[' none', ' to get rid of someone', ' to get away with something']]","[[' none', ' to have a scapegoat', ' to make a scapegoat']]","[[' guilty', ' sad', ' angry']]","[[' PersonX is a scapegoat', ' PersonX makes a mistake', ' PersonX makes a bad choice']]","[[' to get rid of the scapegoat', ' to make amends', ' to get rid of the scapegoat.']]","Want:  to get rid of the scapegoat, to get rid of the scapegoat,  to make amends","Intents:  to get away with something,  to get rid of someone","Attributes:  mean, scapegoat,  mean spirited","Reactions:  sad,  angry, guilty","Effects:  gets yelled at,  speaker is punished","Needs:  to have a scapegoat,  to make a scapegoat","Reasons: speaker is a scapegoat,  speaker makes a mistake,  speaker makes a bad choice"
56,56,56,341,Apparently the simple fact that some 80% of households have a gun and that only 12% of the population support less gun control has no influence on your false belief that gun owners will vote to defend their firearms.,01 Health and Safety,Threatened,firearms,,defend,firearms,Guns,defend,Protection,2673214.0,,,defend their,defend their,"[[' brave', ' strong', ' defensive']]","[[' gets yelled at', ' none', ' PersonX is thanked']]","[[' to be a good person', ' to be a good friend', ' to be helpful']]","[[' none', ' to know how to defend themselves', ' to know what to say']]","[[' good about themselves', ' proud', ' good about themselves.']]","[[' PersonX is not allowed to defend themselves.', ' PersonX is not allowed to defend themselves', ' PersonX is not allowed to defend their family.']]","[[' to make sure they are safe', ' to be a hero', ' to be a good person']]","Want: to make sure they are safe,  to be a hero,  to be a good person","Intents: to be a good person,  to be helpful,  to be a good friend","Attributes:  defensive,  strong, brave","Reactions:  good about themselves, good about themselves,  proud","Effects:  speaker is thanked, gets yelled at","Needs:  to know how to defend themselves,  to know what to say","Reasons: speaker is not allowed to defend themselves,  speaker is not allowed to defend themselves,  speaker is not allowed to defend their family"
57,57,57,1642,"It envisions a Supreme Court standing (or rather enthroned) at the apex of government, empowered to decide all constitutional questions, always and everywhere `primary' in its role.""",12 High and Low,Level,HIGH,,apex,government,Government,apex,High Location,153104.0,,,apex of,apex of,"[[' powerful', ' dominant', ' talented']]","[[' none', ' PersonX achieves a goal', ' PersonX gets a promotion']]","[[' none', ' to be the best', ' to be the best.']]","[[' none', ' to know what they want to do', ' to know what they are doing']]","[[' accomplished', ' happy', ' proud']]","[[' PersonX wins the lottery', ' PersonX wins the race', ' PersonX wins the game']]","[[' to be the best', ' to celebrate', ' to get a promotion']]","Want: to be the best,  to get a promotion,  to celebrate",Intents:  to be the best,"Attributes:  dominant, powerful,  talented","Reactions:  proud, accomplished,  happy","Effects:  speaker achieves a goal,  speaker gets a promotion","Needs:  to know what they want to do,  to know what they are doing","Reasons: speaker wins the lottery,  speaker wins the race,  speaker wins the game"
58,58,58,281,"New York's pensions are the financial equivalent of the neutron bomb: kill taxpayers right away, but save the bill for future generations,"" Astorino said.",01 Health and Safety,Threatened,taxypayers,,kill,taxpayers,Taxation,kill,Crime,2378125.0,,,kill taxpayers,kill taxpayers,"[[' violent', ' mean', ' immoral']]","[[' PersonX commits a crime.', ' gets arrested', ' PersonX commits a crime']]","[[' none', ' to get rich', ' to be rich']]","[[' to get a gun', ' none', ' to be a criminal']]","[[' guilty', ' sad', ' guilty.']]","[[' PersonX is a criminal.', ' PersonX is a murderer.', ' PersonX wants to be rich.']]","[[' to get away with it', ' to hide from the police', ' to hide the evidence']]","Want: to get away with it,  to hide from the police,  to hide the evidence","Intents:  to be rich,  to get rich","Attributes:  mean,  immoral, violent","Reactions:  guilty,  sad, guilty","Effects: speaker commits a crime,  gets arrested,  speaker commits a crime","Needs: to get a gun,  to be a criminal","Reasons:  speaker is a murderer, speaker is a criminal,  speaker wants to be rich"
59,59,59,438,The government of Iraq today has advanced from the Hussein dictatorship and its partial democracy is one desirable development.,02 Journey,Agent,government,,advanced,government,Government,advanced,Forward Movement,2665491.0,,,advanced from,advanced from,"[[' determined', ' brave', ' strong']]","[[' none', ' gets tired', ' PersonX moves forward']]","[[' to get somewhere', ' to be the best', ' to get to the destination']]","[[' none', ' to get up', ' to have a plan']]","[[' accomplished', ' proud', ' happy']]","[[' PersonX is in a wheelchair', ' PersonX is in a race', ' PersonX is tired']]","[[' to go home', ' to get to their destination', ' to get to the destination']]","Want:  to get to the destination,  to get to their destination, to go home","Intents:  to be the best, to get somewhere,  to get to the destination","Attributes:  strong, determined,  brave","Reactions: accomplished,  proud,  happy","Effects:  speaker moves forward,  gets tired","Needs:  to have a plan,  to get up","Reasons:  speaker is in a race, speaker is in a wheelchair,  speaker is tired"
60,60,60,255,"Darwinism doesn't involve the collateral damage of loose gun laws, nor the caustic social effects of an armed society",01 Health and Safety,Threat,gun laws,,collateral damage,gun laws,Control of Guns,collateral damage,Struggle,2668802.0,,,,,"[[' careless', ' hurtful', ' hurt']]","[[' PersonX is injured.', ' PersonX is injured', ' none']]","[[' none', ' to be hurt', ' to hurt someone else']]","[[' none', ' to have done something wrong', ' to have done something bad']]","[[' sad', ' hurt', ' sad.']]","[[' PersonX is in the middle of a war.', ' PersonX is a hero.', ' PersonX is in the middle of a fight.']]","[[' to make amends', ' to get back to work', ' to get back up']]","Want:  to get back up, to make amends,  to get back to work","Intents:  to hurt someone else,  to be hurt","Attributes: careless,  hurtful,  hurt","Reactions: sad,  sad,  hurt","Effects: speaker is injured,  speaker is injured","Needs:  to have done something wrong,  to have done something bad","Reasons:  speaker is a hero,  speaker is in the middle of a fight, speaker is in the middle of a war"
61,61,61,1207,Today's economic system produces poverty as a matter of course; attacks on unions and an already limited welfare state further exacerbate the situation.,05 Engineering and Business: Business,Product,poverty,,produces,poverty,Poverty,produces,Factory,3125011.0,,,produces poverty,produces poverty,"[[' immoral', ' irresponsible', ' poor']]","[[' gets arrested', ' none', ' PersonX gets arrested']]","[[' none', ' to be rich', ' to get rich']]","[[' none', ' to have a lot of money', ' to have a lot of money.']]","[[' sad', ' guilty', ' ashamed']]","[[' PersonX wants to be rich', ' PersonX wants to be rich.', ' PersonX wants to make a lot of money']]","[[' to get rich', ' to make money', ' to be rich']]","Want:  to be rich, to get rich,  to make money","Intents:  to be rich,  to get rich","Attributes: immoral,  irresponsible,  poor","Reactions: sad,  ashamed,  guilty","Effects:  speaker gets arrested, gets arrested",Needs:  to have a lot of money,"Reasons:  speaker wants to make a lot of money, speaker wants to be rich,  speaker wants to be rich"
62,62,62,431,"As federal gun control retreated, so too did symbolic state legislative attempts to nullify it",02 Journey,Agent,gun control,,retreated,gun control,Control of Guns,retreated,Backward Movement,2376921.0,,,,,"[[' cowardly', ' scared', ' brave']]","[[' PersonX is no longer in danger.', ' PersonX is no longer in danger', ' PersonX runs away.']]","[[' to get away', ' to be safe', ' to be alone']]","[[' none', ' to get in the car', ' to be in a fight']]","[[' relieved', ' scared', ' safe']]","[[' PersonX is being chased by the police', ' PersonX is being chased by a bear', ' PersonX is being chased by a criminal']]","[[' to go home', ' to get away from the situation', ' to get away from the scene']]","Want:  to get away from the situation,  to get away from the scene, to go home","Intents:  to be safe,  to be alone, to get away","Attributes: cowardly,  scared,  brave","Reactions:  scared, relieved,  safe","Effects:  speaker is no longer in danger,  speaker runs away, speaker is no longer in danger","Needs:  to be in a fight,  to get in the car","Reasons:  speaker is being chased by a bear, speaker is being chased by the police,  speaker is being chased by a criminal"
63,63,63,441,Because of me six more people are active in gun rights advancement and each of them invite people to go to the range with us; we have one or two new shooters each time.,02 Journey,Agent,gun rights,,advancement,gun rights,Gun Rights,advancement,Forward Movement,2377385.0,,,advancement and,advancement and,"[[' hardworking', ' hard-working', ' hard working']]","[[' PersonX gets a promotion', ' PersonX gets a promotion.', ' PersonX gets promoted']]","[[' to be successful', ' to be the best', ' to be a success']]","[[' to work hard', ' none', ' to have a job']]","[[' accomplished', ' proud', ' happy']]","[[' PersonX works hard at their job', ' PersonX gets a promotion at work', ' PersonX gets a promotion']]","[[' to get a promotion', ' to be successful', ' to get promoted']]","Want: to get a promotion,  to get promoted,  to be successful","Intents:  to be the best, to be successful,  to be a success","Attributes:  hard-working,  hard working, hardworking","Reactions: accomplished,  proud,  happy","Effects:  speaker gets promoted,  speaker gets a promotion, speaker gets a promotion","Needs:  to have a job, to work hard","Reasons:  speaker gets a promotion at work, speaker works hard at their job,  speaker gets a promotion"
64,64,64,324,There are two bills up in the State Senate in the next few days that will heavily impact your gun rights.,01 Health and Safety,Threatened,gun rights,,impact,gun rights,Gun Rights,impact,Physical Harm,2823917.0,,,impact your,impact your,"[[' influential', ' powerful', ' dominant']]","[[' none', ' PersonX makes a difference', ' PersonX makes a difference.']]","[[' none', ' to be influential', ' to be helpful']]","[[' none', ' to be in a position of power', ' to be in a position to influence others']]","[[' powerful', ' good about themselves', ' happy']]","[[' PersonX is a bad influence', ' PersonX has a lot of influence', ' PersonX has a lot of influence.']]","[[' to help others', ' to make you happy', ' to help you']]","Want:  to make you happy,  to help you, to help others","Intents:  to be influential,  to be helpful","Attributes:  dominant,  powerful, influential","Reactions:  good about themselves, powerful,  happy",Effects:  speaker makes a difference,"Needs:  to be in a position of power,  to be in a position to influence others","Reasons:  speaker has a lot of influence, speaker is a bad influence"
65,65,65,1429,"This remains to be seen, since the SL government has been ruthlessly robbing Tamils of their lands and their homes.",06 Morality and Justice,Criminal,government,,robbing,government,Government,robbing,Crime/Theft,2832086.0,,,robbing Tamils,robbing Tamils,"[[' criminal', ' violent', ' mean']]","[[' gets arrested', ' PersonX gets arrested.', ' PersonX is arrested.']]","[[' to make money', ' to get rich', ' to be rich']]","[[' to get a gun', ' to have a gun', ' to have a plan']]","[[' guilty', ' like a criminal', ' like a criminal.']]","[[' PersonX steals from the Tamils', ' PersonX buys a gun', ' PersonX is a criminal']]","[[' to get away with it', ' to make money', ' to get away with the crime']]","Want: to get away with it,  to make money,  to get away with the crime","Intents:  to be rich, to make money,  to get rich","Attributes:  mean,  violent, criminal","Reactions:  like a criminal, guilty","Effects:  speaker gets arrested,  speaker is arrested, gets arrested","Needs: to get a gun,  to have a plan,  to have a gun","Reasons:  speaker buys a gun, speaker steals from the Tamils,  speaker is a criminal"
66,66,66,1310,Democracy for America is supporting four great Secretary of State candidates that will start restoring fairness to our elections.,05 Engineering and Business: Engineering,Component,Democracy,,supporting,Democracy,Democracy,supporting,Building,2664494.0,,,supporting four,supporting four,"[[' caring', ' responsible', ' generous']]","[[' none', ' PersonX is supported.', ' PersonX is supported']]","[[' to be helpful', ' to be a good friend', ' to be generous']]","[[' none', ' to know how to do it', ' to know how to support them']]","[[' happy', ' proud', ' satisfied']]","[[' PersonX has no money.', ' PersonX wants to be a good friend.', ' PersonX wants to be a good friend']]","[[' to help others', ' to be a good parent', ' to support more people']]","Want:  to be a good parent,  to support more people, to help others","Intents: to be helpful,  to be generous,  to be a good friend","Attributes: caring,  responsible,  generous","Reactions:  satisfied, happy,  proud",Effects:  speaker is supported,"Needs:  to know how to do it,  to know how to support them","Reasons: speaker has no money,  speaker wants to be a good friend"
67,67,67,1713,This has sparked much debate in the already lit fire of gun control.,13 Nature: Fire,Fire,gun control,fire of [fire],fire of,gun control,Control of Guns,fire,Fire,2377284.0,,,fire of [fire],fire of fire,"[[' dangerous', ' aggressive', ' violent']]","[[' PersonX burns the house down.', ' PersonX burns down the house.', ' PersonX burns down the building.']]","[[' none', ' to be dangerous', ' to show his anger']]","[[' none', ' to have a fire', ' to be in a fire']]","[[' powerful', ' like they are in control', ' like they are doing something good']]","[[' PersonX starts a fire', ' PersonX starts a bonfire', ' PersonX starts a campfire']]","[[' to get away from the situation', ' to get away from the fire', ' to get away from the scene']]","Want:  to get away from the scene, to get away from the situation,  to get away from the fire","Intents:  to show his anger,  to be dangerous","Attributes: dangerous,  violent,  aggressive","Reactions:  like they are doing something good, powerful,  like they are in control","Effects:  speaker burns down the house, speaker burns the house down,  speaker burns down the building","Needs:  to be in a fire,  to have a fire","Reasons:  speaker starts a bonfire,  speaker starts a campfire, speaker starts a fire"
68,68,68,1400,"Finally, poverty, various forms of exploitation, child abuse and trauma rob many children and youth of the quality of life envisioned in the Convention on the Rights of the Child.",06 Morality and Justice,Crime,poverty,,rob,poverty,Poverty,rob,Crime/Theft,2303108.0,,,rob many,rob many,"[[' violent', ' criminal', ' mean']]","[[' gets arrested', ' gets caught', ' PersonX is arrested']]","[[' to be rich', ' to get rich', ' to steal']]","[[' to get a gun', ' to have a car', ' to have a plan']]","[[' guilty', ' like a criminal', ' like a criminal.']]","[[' PersonX is a criminal', ' PersonX is a criminal.', ' PersonX is a robber.']]","[[' to get away with it', ' to hide', ' to get away with the crime']]","Want:  to hide, to get away with it,  to get away with the crime","Intents: to be rich,  to steal,  to get rich","Attributes:  mean,  criminal, violent","Reactions:  like a criminal, guilty","Effects:  speaker is arrested,  gets caught, gets arrested","Needs: to get a gun,  to have a car,  to have a plan","Reasons:  speaker is a criminal,  speaker is a robber, speaker is a criminal"
69,69,69,645,"It was the first parliamentary election in which I voted; I can reveal that my vote went to Shirley Williams, fighting her last election in Cambridge on behalf of the SDP/Liberal Alliance.",03 Conflict,Conflict,election,,fighting,election,Elections,fighting,Struggle,2092203.0,,,fighting her,fighting her,"[[' aggressive', ' violent', ' mean']]","[[' PersonX is injured.', ' PersonX gets injured.', ' PersonX is injured']]","[[' to win', ' to win the fight', ' to win the fight.']]","[[' to have a reason to fight her', ' to have a reason to fight', ' to have a weapon']]","[[' angry', ' strong', ' tired']]","[[' PersonX is in love with the girl.', ' PersonX is afraid of her.', ' PersonX is in love with her.']]","[[' to win the fight', ' to get away from her', ' to get away from the situation']]","Want:  to get away from her, to win the fight,  to get away from the situation","Intents: to win,  to win the fight","Attributes:  mean,  violent, aggressive","Reactions: angry,  strong,  tired","Effects: speaker is injured,  speaker gets injured,  speaker is injured","Needs: to have a reason to fight her,  to have a weapon,  to have a reason to fight","Reasons:  speaker is in love with her,  speaker is afraid of her, speaker is in love with the girl"
70,70,70,1227,"Regardless, if I grow 10 tomatos, and you only grow 2, I have created more wealth than you have.",05 Engineering and Business: Engineering,Built,wealth,,created,wealth,Wealth,created,Building,2898681.0,,,created more,created more,"[[' creative', ' talented', ' inventive']]","[[' PersonX creates more', ' PersonX creates more things.', ' PersonX creates something new.']]","[[' to be creative', ' to create more', ' to create something']]","[[' none', ' to create something', ' to have a plan']]","[[' happy', ' satisfied', ' accomplished']]","[[' PersonX creates a lot of things', ' PersonX has a lot of ideas', ' PersonX creates a lot of things.']]","[[' to make more', ' to sell it', ' to make more things']]","Want:  to sell it,  to make more things, to make more","Intents:  to create something, to be creative,  to create more","Attributes: creative,  inventive,  talented","Reactions:  accomplished,  satisfied, happy","Effects:  speaker creates something new, speaker creates more,  speaker creates more things","Needs:  to have a plan,  to create something","Reasons:  speaker has a lot of ideas,  speaker creates a lot of things, speaker creates a lot of things"
71,71,71,713,"If the Arab world really supported the Palestinians, rather than uniting around hatred of the Israeli state - they would divert 1 days oil revenues to boosting the Palsetinian economy, to destroying the poverty caused by the extremists in their war agains moderate Islam, towards joint projects that would solve the problems.",03 Conflict,Enemy,poverty,,destroying,poverty,Poverty,destroying,Physical Harm,138624.0,,,destroying the,destroying the,"[[' destructive', ' mean', ' violent']]","[[' gets arrested', ' PersonX gets arrested.', ' PersonX gets arrested']]","[[' to destroy something', ' to get rid of something', ' to get rid of something.']]","[[' none', ' to have a weapon', ' to get a weapon']]","[[' angry', ' satisfied', ' happy']]","[[' PersonX wants to get revenge on someone.', ' PersonX wants to get revenge on someone', ' PersonX wants to save the environment']]","[[' to go home', ' to go to jail', ' to get revenge']]","Want:  to get revenge,  to go to jail, to go home","Intents: to destroy something,  to get rid of something","Attributes:  mean,  violent, destructive","Reactions: angry,  satisfied,  happy","Effects:  speaker gets arrested, gets arrested","Needs:  to have a weapon,  to get a weapon","Reasons:  speaker wants to get revenge on someone,  speaker wants to save the environment, speaker wants to get revenge on someone"
72,72,72,1377,This money would increase revenues for fire protection and law enforcement.,05 Engineering and Business: Resource,Resource,money,,increase,money,Wealth,increase,Upward Movement,158545.0,,,increase revenues,increase revenues,"[[' hardworking', ' successful', ' hard-working']]","[[' PersonX makes more money.', ' PersonX makes more money', ' PersonX gets a raise.']]","[[' to make more money', ' to make money', ' to make more money.']]","[[' to work hard', ' to have a business plan', ' to have a good business plan']]","[[' happy', ' accomplished', ' proud']]","[[' PersonX wants to make more money', ' PersonX wants to buy a new car', ' PersonX wants to make more money.']]","[[' to make more money', ' to make money', ' to make a profit']]","Want:  to make a profit,  to make money, to make more money","Intents:  to make money, to make more money,  to make more money","Attributes:  hard-working,  successful, hardworking","Reactions:  accomplished, happy,  proud","Effects:  speaker gets a raise,  speaker makes more money, speaker makes more money","Needs:  to have a business plan,  to have a good business plan, to work hard","Reasons:  speaker wants to make more money, speaker wants to make more money,  speaker wants to buy a new car"
73,73,73,196,And the job market won't recover until government reduces the burden it creates on production.,01 Health and Safety,Threat,government,,reduces,government,Bureaucracy/Government,reduces,Physical Burden,1971549.0,,,reduces the,reduces the,"[[' responsible', ' careful', ' efficient']]","[[' PersonX is able to do more with less.', ' PersonX is able to work more efficiently.', ' PersonX is able to do more things.']]","[[' to save money', ' to be more efficient', ' to be more efficient.']]","[[' none', ' to know how to reduce it', ' to know how much to reduce']]","[[' satisfied', ' happy', ' relieved']]","[[' PersonX has a lot of work to do.', ' PersonX has a lot of work to do', ' PersonX has a lot of money to spend.']]","[["" to make sure it's done right"", "" to make sure it's done"", "" to make sure it's not a problem""]]","Want:  "" to make sure its not a problem"",  "" to make sure its done"", "" to make sure its done right""","Intents:  to be more efficient, to save money","Attributes:  efficient, responsible,  careful","Reactions: satisfied,  happy,  relieved","Effects:  speaker is able to do more things,  speaker is able to work more efficiently, speaker is able to do more with less","Needs:  to know how to reduce it,  to know how much to reduce","Reasons:  speaker has a lot of money to spend,  speaker has a lot of work to do, speaker has a lot of work to do"
74,74,74,1174,Excellent point we need to show what gun control is really selling to the public - the CONSEQUENCES.,05 Engineering and Business: Business,Business,Gun control,[business] is selling,is selling,Gun control,Control of Guns,selling,Business,,,,[business] is selling,business is selling,"[[' hardworking', ' successful', ' hard-working']]","[[' PersonX makes a lot of money.', ' PersonX makes a lot of money', ' PersonX makes money.']]","[[' to make money', ' to make money.', ' to make a profit']]","[[' to have a business', ' to have a business to sell', ' to have a business.']]","[[' happy', ' accomplished', ' satisfied']]","[[' PersonX opens a new business', ' PersonX opens a business', ' PersonX buys a new business']]","[[' to make money', ' to make a profit', ' to make money.']]","Want:  to make money, to make money,  to make a profit","Intents:  to make money, to make money,  to make a profit","Attributes:  hard-working,  successful, hardworking","Reactions:  accomplished,  satisfied, happy","Effects: speaker makes a lot of money,  speaker makes a lot of money,  speaker makes money","Needs: to have a business,  to have a business to sell,  to have a business","Reasons:  speaker buys a new business,  speaker opens a business, speaker opens a new business"
75,75,75,1489,"For the Argentines whom we got to know, tyranny is not caused by the government, but those who stole the government and used it for negative purposes.",06 Morality and Justice,Property,government,,stole,government,Government,stole,Theft,2009724.0,,,stole the,stole the,"[[' mean', ' sneaky', ' greedy']]","[[' gets arrested', ' gets caught', ' PersonX is arrested']]","[[' to steal something', ' to get something', ' to steal something.']]","[[' to have a reason to steal', ' to have a reason to steal it', ' to be in possession of something']]","[[' guilty', ' like a criminal', ' like a thief']]","[[' PersonX needs the money.', ' PersonX needs the money', ' PersonX needs the money for school.']]","[[' to go to jail', ' to hide the evidence', ' to hide it']]","Want: to go to jail,  to hide it,  to hide the evidence","Intents: to steal something,  to get something,  to steal something","Attributes:  sneaky,  greedy, mean","Reactions:  like a thief,  like a criminal, guilty","Effects:  speaker is arrested,  gets caught, gets arrested","Needs:  to be in possession of something,  to have a reason to steal it, to have a reason to steal","Reasons:  speaker needs the money,  speaker needs the money for school, speaker needs the money"
76,76,76,845,The contradictions of Kenya -- where multiparty democracy competes with feudal tribalism -- could be said to be precisely those you would expect in a country racing at breakneck speed towards modernity.,03 Conflict,Side,Democracy,,competes,democracy,Democracy,competes,Competition/Game,760940.0,,,competes with,competes with,"[[' competitive', ' Competitive', ' athletic']]","[[' PersonX wins the competition.', ' PersonX wins the competition', ' wins the competition']]","[[' to be the best', ' to win', ' to be competitive']]","[[' none', ' to practice', ' to be competitive']]","[[' competitive', ' accomplished', ' happy']]","[[' PersonX wins the competition', ' PersonX competes in a race', ' PersonX competes in a competition']]","[[' to win the competition', ' to win', ' to be the best']]","Want:  to win,  to be the best, to win the competition","Intents: to be the best,  to win,  to be competitive","Attributes:  athletic, competitive,  Competitive","Reactions:  accomplished, competitive,  happy","Effects:  wins the competition, speaker wins the competition,  speaker wins the competition","Needs:  to practice,  to be competitive","Reasons: speaker wins the competition,  speaker competes in a competition,  speaker competes in a race"
77,77,77,1154,"All were asking of our Government is to match our level of concern and make sure our taxes are supporting the clean energy solutions, not the problem.",04 Power and Control: Human,Servant,taxes,,supporting,taxes,Taxes,supporting,Building,124416.0,,,supporting the,supporting the,"[[' caring', ' supportive', ' kind']]","[[' none', ' gets thanked', ' PersonX is thanked']]","[[' to be a good person', ' to be supportive', ' to be a good person.']]","[[' none', ' to know what they believe in', ' to know what they believe']]","[[' happy', ' proud', ' good']]","[[' PersonX wants to be a good person.', ' PersonX wants to be a good person', ' PersonX wants to be a good citizen.']]","[[' to be a good person', ' to be a part of the team', ' to be a part of something']]","Want: to be a good person,  to be a part of something,  to be a part of the team","Intents: to be a good person,  to be supportive,  to be a good person","Attributes: caring,  kind,  supportive","Reactions:  good, happy,  proud","Effects:  speaker is thanked,  gets thanked","Needs:  to know what they believe in,  to know what they believe","Reasons: speaker wants to be a good person,  speaker wants to be a good person,  speaker wants to be a good citizen"
78,78,78,509,"The guns are supposed to be checked in, but once you open the gun door, well, shit happens.",02 Journey,Barrier,gun,,door,gun,Guns,door,Portal,3124098.0,,,,,"[[' open', ' helpful', ' curious']]","[[' PersonX opens the door', ' PersonX opens the door.', ' PersonX walks out of the door']]","[[' to be alone', ' to get out of the car', ' to get out of the house']]","[[' to open the door', ' to walk to the door', ' to walk up to the door']]","[[' happy', ' relieved', ' happy.']]","[[' PersonX opens the door', ' PersonX opens the door for PersonY', ' PersonX walks into the house']]","[[' to open the door', ' to go inside', ' to go out']]","Want: to open the door,  to go out,  to go inside","Intents:  to get out of the car, to be alone,  to get out of the house","Attributes: open,  helpful,  curious","Reactions: happy,  happy,  relieved","Effects:  speaker opens the door, speaker opens the door,  speaker walks out of the door","Needs: to open the door,  to walk to the door,  to walk up to the door","Reasons: speaker opens the door,  speaker walks into the house,  speaker opens the door for someone"
