Sentence,True,Prediction
"The only person in perhaps seven hundred years who has truly walked in the steps of St. Paul, and his Lord, Jesus, is St. Francis, who died a miserable death of poverty, giving his life to the well being of others, whomever they were.",Threatened,Child
"Courtney has also worked on The Empty Bowl Project - which provides monetary support for food banks, soup kitchens, and other organizations that fight hunger.",Enemy,Enemy
"The Money and the Power asks, in fact, whether the ""national surrender of democracy to oligarchy--the submission to house rules, as they might put it on the Strip""--has gone on too long to be reversed.",Loser,Loser
"The treaties have been approved by the Senate, and Congress has given the agencies regulatory authority; so without any oversight the federal bureaucracy advances the global agenda.",Agent,Movement
...dying from a stray bullet or an overdose of poverty will still be easy...,Threat,Threat
"A recent paper by Yale Tax Law Professor Susannah Tahk introduces the concept of the ""tax war on poverty"" and analyzes the growing number of tax code provisions to which the concept refers.",Conflict,Conflict
"Wealth alleviates child labor, as the fact it has disappeared in rich countries (that is, capitalist countries) demonstrates.",Protection,Protection
It took more than a century-and-a-half to do it; and yet anyone might have foretold the ultimate victory of government because it always had the skill and the means to keep people on its side.,Winner,Winner
To demonstrate his position against the Second Amendment's evil gun rights Gregory imported a banned 30 round ammunition magazine for an AR-15 or M-4 carbine into the District of Columbia.,Threat,Threat
"Emiliano Zapata (Marlon Brando), a Mexican Indian from Morelos, joins forces with Pancho Villa (Alan Reed) to overthrow the corrupt Mexican government.",Leader,Degree
"* Guns were even more prevalent in the past; if that were not the case, why have we had a progression of gun control?",Change,Movement
"The death tax kills jobs, said AGC President Terry Deeny.",Threat,Threat
"The blood, sweat and tears of citizens of conscience working to make government better are the rain and fertilizer of democracy.",Rain,Farmer/Gardener
We have so tamed and domesticated democracy that we can give it to Iraq.,Domesticated Animal,Domesticated Animal
"If, like Utah, you?re on the lucky side of the pork trough, democracy tastes pretty sweet.",Beneficial,Wild Animal
High taxation harms the poor most in multiple ways.,Threat,Threat
I live for the day when there is a website that shows what organisations are doing to fight gun control.,Threatened,Enemy
"In response to Obama's editorial in the Quad City Times last September suggesting the payroll tax ceiling be repealed, critics asked how that fits with his promise not to raise taxes on anyone who makes less than $200,000 or $250,000 (Obama has cited both figures).",Barrier,Threat
Its role: to participate in actions where NATO itself is not willing to take part; meaning where the US does not have a clear strategic interest (one good example of that was the collapse of government authority in Albania in 1997).,Built,Loser
E-democracy -- using electronic communications to enhance democratic processes.,Built,Built
9th Circuit procedural triumph a win for 2nd Amendment in San Diego,Winner,Winner
"Sorry, but those who have benefitted most from corrupt taxation now need to give back.",Threatened,Victim
"A nonprofit, nonpartisan research and public policy center working to improve public policies to eradicate hunger and undernutrition in the United States.",Enemy,Enemy
Taxation destroys earnings and ability to save/invest...inflation destroys monetary wealth already owned.,Threat,Threat
The basis under which Congress propagates copyright law is laid out in the U.S. Constitution which gives Congress the authority:,Beneficial Plant,Agent
"Joe, who is a Life Member of Gun Owners of America, committed in writing to protect your gun rights 100% of the time.",Threatened,Threatened
Now you are defending Felon's gun rights?,Threatened,Threatened
"It doesn't glorify guns at all, but it at least makes kids think about how they would react should they ever come across one.",God,God
"Maybe taxes relieve us of paying tolls on every road, but they are an inconvenience.",Protection,Protection
To now attach the law to the running of the government and use it as a bargaining chip would set a dangerous precedent that takes us out of the realm of democracy and into the realm of anarchy.,Scale,Level
WDR 2000/2001: Attacking Poverty,Threatened,Enemy
"In fact, we argue that simply breathing in the brisk wind coming off the water in itself can go a long ways towards strengthening one constitution- not to mention the additional physical and psychological benefits in terms of relaxation and stress relief.",Built,Built
Arizona House passes 2 pro-gun bills Republicans in the Arizona House of Representatives who say the 2nd Amendment is under attack have approved two bills that aim to strengthen gun rights in the state.,Built,Built
RE: Logical fallacy of the Left: You can't stop gun violence by attacking guns Posted by: drobinson2,Enemy,Enemy
"I am not a proponent of gun control and I think its important to think long and hard before one gives up any right that he currently has, but that doesn't mean I have to believe in a DELUSION that rounding up all the guns in America is even possible.",Domesticated Animal,Loser
Just dont get shot and dont expect to be able to carry a firearm to defend yourself. oh no no no we wouldnt want that in the Gun Control pit.,Barrier,Destination
And the former president realizes (1) that she abdicated an affirmative duty to steal the election and (2) that her high-mindedness was nothing but vanity.,Property,Property
"While it resulted in a government win, it presented many new challenges such as keeping it on a very tight schedule, he said.",Winner,Winner
"Entrepreneurism creates jobs, but taxes kill entrepreneurism.",Threat,Enemy
"Several states under Democratic leadership have strengthened state gun laws since the massacre of 6- and 7-year-olds at Sandy Hook Elementary School in Newtown, Conn., in December, including New York, Colorado, Maryland and Connecticut.",Built,Built
"My thought was that if machine guns are ignored in the Heller decision, then if we do things right after a Heller win we can get some machine gun relief eventually.",Protection,Protection
I would argue that these taxes enslave us to the government.,Leader,Leader
"While nonâ€“gun advocates may strain to see the link between prohibiting the destruction of guns and defending the Second Amendment, it makes sense when you consider the attitude of the NRA and its supporters: any encroachment on gun rights--defined as the right to own any firearm, at any time--is a threat to all gun rights.",Threatened,Threatened
"And amid the deadly steaming jungles of Vietnam, the violent clash of democracy against the creeping threat of communism stalls as the war-torn People's Republic gives up its hungry dead.",Loser,Conflict
"Representative democracy was in fact born of many and different power conflicts, many of them bitterly fought in opposition to ruling groups, whether they were church hierarchies, landowners or imperial monarchies, often in the name of 'the people'.",Entity,Conflict
"As if these hurdles are not enough, there is the long-held, but incorrect, public perception that FDA erects regulatory barriers that block patients from getting investigational new drugs (INDs).",Barrier,Barrier
"If the government does not fight poverty, poverty will be the victor at the next elections.",Enemy,Enemy
