Sentence,True,Prediction
Orville also wrote his wife that he hoped hostilities between nations cease forever and democracy heals the mental scars of war.,Medicine,Medicine
Bush marketed democracy to the Arab masses as a mouthpiece for the region's moderate silent majorities.,Business,Business
Strengthening American Democracy,Building/Strength,Building/Strength
"The weed of government must be constantly trimmed back, if not uprooted outright.",Plant,Crop/Plant
"The question of voting for the ""lesser of two evils"" was addressed, as well as the myth of elections being the zenith of democracy.",High Location,A God/Story
The 1913 income tax produced a degree of chaos because of the haste with which it was introduced and the lack of guidance offered to those preparing returns.,Factory,Factory
"Poverty sells children for a loaf of bread and locks them up in dark, skanky rooms to be raped 40 times a day by pedophiles as a result of sex trafficking.",Business,Business
The narrative in the media seems to be that gun control actually won the midterms.,Competition,Competition/Game
We are not taking your sacred guns away just trying to find away to keep AK-47's and AR-15's out of the hands of crazy fools.,A God,A God
But even if it did the feminist exploitation of the bureaucracy scarcely justifies a distortion of the law as originally intended.,Resource,Crime/Theft
b. Exchange successful experiences and methodologies with a view to strengthen democratic processes in the region.,Building/Strength,Building/Strength
"They wore T-shirts that said, ""Protect Our Civil Liberties.""",Protection,Protection
"And by turning local issues into federal responsibilities, Congress robs the taxpayers of 49 states to ""benefit"" the taxpayers of one.",Crime/Theft,Crime/Theft
One can expect these factors to diminish in influence as the democracy becomes more transparent and as elections become more competitive.,Competition,Low Location
Putin understands that the fall of the Soviet Union occurred because it was focused on not losing an arms race instead of winning a wealth race.,Competition,Competition
It has no other use than as a psychological victory for gun control ratifying and validating gun control.,Competition/Game/Struggle,Competition/Game/Struggle
"Then provide drive by comments about ""stooges"" and ""gun cult.""",A God,A God
"To him, wealth is a crime.",Crime,Crime
Looks like we are bound to learn the hard way what happens when uncontrollable government burdens its citizens past the breaking point.,Physical Burden,Confinement
"Institute Notes > What do we mean by ""poverty alleviation?""",Medicine,Medicine/Physical Burden
The sad news is with the exception of very few no firearm organisation is doing anything of the slightest value in fighting gun control.,Struggle/War,Struggle/War
The power to create wealth advances the kingdom of God in a very significant way.,Forward Movement,Forward Movement/Journey
"The only person in perhaps seven hundred years who has truly walked in the steps of St. Paul, and his Lord, Jesus, is St. Francis, who died a miserable death of poverty, giving his life to the well being of others, whomever they were.",Life Stage,Life Stage
"Courtney has also worked on The Empty Bowl Project - which provides monetary support for food banks, soup kitchens, and other organizations that fight hunger.",Struggle,Struggle/War
"The Money and the Power asks, in fact, whether the ""national surrender of democracy to oligarchy--the submission to house rules, as they might put it on the Strip""--has gone on too long to be reversed.",Struggle/War,War
"The treaties have been approved by the Senate, and Congress has given the agencies regulatory authority; so without any oversight the federal bureaucracy advances the global agenda.",Forward Movement,Forward Movement/Journey
...dying from a stray bullet or an overdose of poverty will still be easy...,Addiction,Addiction
"A recent paper by Yale Tax Law Professor Susannah Tahk introduces the concept of the ""tax war on poverty"" and analyzes the growing number of tax code provisions to which the concept refers.",War,War
"Wealth alleviates child labor, as the fact it has disappeared in rich countries (that is, capitalist countries) demonstrates.",Disease,Medicine
It took more than a century-and-a-half to do it; and yet anyone might have foretold the ultimate victory of government because it always had the skill and the means to keep people on its side.,Competition/War,War
To demonstrate his position against the Second Amendment's evil gun rights Gregory imported a banned 30 round ammunition magazine for an AR-15 or M-4 carbine into the District of Columbia.,Monster,Emotion Experiencer/Monster
"Emiliano Zapata (Marlon Brando), a Mexican Indian from Morelos, joins forces with Pancho Villa (Alan Reed) to overthrow the corrupt Mexican government.",Contamination,Enslavement/Crime
"* Guns were even more prevalent in the past; if that were not the case, why have we had a progression of gun control?",Forward Movement,Forward Movement/Journey
"The death tax kills jobs, said AGC President Terry Deeny.",Crime/Physical Harm,Physical Harm/War
"The blood, sweat and tears of citizens of conscience working to make government better are the rain and fertilizer of democracy.",Crop,Crop/Plant
We have so tamed and domesticated democracy that we can give it to Iraq.,Animal,Animal
"If, like Utah, you?re on the lucky side of the pork trough, democracy tastes pretty sweet.",Food,Food
High taxation harms the poor most in multiple ways.,Physical Harm,Physical Harm
I live for the day when there is a website that shows what organisations are doing to fight gun control.,Struggle/War,Struggle
"In response to Obama's editorial in the Quad City Times last September suggesting the payroll tax ceiling be repealed, critics asked how that fits with his promise not to raise taxes on anyone who makes less than $200,000 or $250,000 (Obama has cited both figures).",Building,Downward Movement/Physical Burden
Its role: to participate in actions where NATO itself is not willing to take part; meaning where the US does not have a clear strategic interest (one good example of that was the collapse of government authority in Albania in 1997).,Building,Downward Movement
E-democracy -- using electronic communications to enhance democratic processes.,Strength,Building/Strength
9th Circuit procedural triumph a win for 2nd Amendment in San Diego,Competition/Game,Competition/Game
"Sorry, but those who have benefitted most from corrupt taxation now need to give back.",Contamination/Crime,Contamination/Crime
"A nonprofit, nonpartisan research and public policy center working to improve public policies to eradicate hunger and undernutrition in the United States.",Disease,Disease/Physical Harm
Taxation destroys earnings and ability to save/invest...inflation destroys monetary wealth already owned.,Natural Physical Force/Physical Harm,Natural Physical Force/Physical Harm
The basis under which Congress propagates copyright law is laid out in the U.S. Constitution which gives Congress the authority:,Crop/Plant,Plant
"Joe, who is a Life Member of Gun Owners of America, committed in writing to protect your gun rights 100% of the time.",Protection,Protection
Now you are defending Felon's gun rights?,Protection,Protection
"It doesn't glorify guns at all, but it at least makes kids think about how they would react should they ever come across one.",A God,A God
"Maybe taxes relieve us of paying tolls on every road, but they are an inconvenience.",Physical Burden,Medicine/Physical Burden
To now attach the law to the running of the government and use it as a bargaining chip would set a dangerous precedent that takes us out of the realm of democracy and into the realm of anarchy.,Physical Location,Physical Location
WDR 2000/2001: Attacking Poverty,Struggle/War,Physical Harm/Struggle/War
"In fact, we argue that simply breathing in the brisk wind coming off the water in itself can go a long ways towards strengthening one constitution- not to mention the additional physical and psychological benefits in terms of relaxation and stress relief.",Building/Strength,Building/Strength
Arizona House passes 2 pro-gun bills Republicans in the Arizona House of Representatives who say the 2nd Amendment is under attack have approved two bills that aim to strengthen gun rights in the state.,Building/Strength,Building
RE: Logical fallacy of the Left: You can't stop gun violence by attacking guns Posted by: drobinson2,War,Physical Harm/Struggle/War
"I am not a proponent of gun control and I think its important to think long and hard before one gives up any right that he currently has, but that doesn't mean I have to believe in a DELUSION that rounding up all the guns in America is even possible.",Animal,Emotion Experiencer
Just dont get shot and dont expect to be able to carry a firearm to defend yourself. oh no no no we wouldnt want that in the Gun Control pit.,Abyss,Abyss
And the former president realizes (1) that she abdicated an affirmative duty to steal the election and (2) that her high-mindedness was nothing but vanity.,Theft,Theft
"While it resulted in a government win, it presented many new challenges such as keeping it on a very tight schedule, he said.",Competition/Game,Competition
"Entrepreneurism creates jobs, but taxes kill entrepreneurism.",Physical Harm,Physical Harm/War
"Several states under Democratic leadership have strengthened state gun laws since the massacre of 6- and 7-year-olds at Sandy Hook Elementary School in Newtown, Conn., in December, including New York, Colorado, Maryland and Connecticut.",Building/Strength,Building
"My thought was that if machine guns are ignored in the Heller decision, then if we do things right after a Heller win we can get some machine gun relief eventually.",Disease/Medicine,Disease
I would argue that these taxes enslave us to the government.,Enslavement,Enslavement/Crime
"While nonâ€“gun advocates may strain to see the link between prohibiting the destruction of guns and defending the Second Amendment, it makes sense when you consider the attitude of the NRA and its supporters: any encroachment on gun rights--defined as the right to own any firearm, at any time--is a threat to all gun rights.",Natural Physical Force/Physical Harm,Contamination/Physical Harm
"And amid the deadly steaming jungles of Vietnam, the violent clash of democracy against the creeping threat of communism stalls as the war-torn People's Republic gives up its hungry dead.",Competition,Game/Struggle
"Representative democracy was in fact born of many and different power conflicts, many of them bitterly fought in opposition to ruling groups, whether they were church hierarchies, landowners or imperial monarchies, often in the name of 'the people'.",Life Stage,Struggle/War
"As if these hurdles are not enough, there is the long-held, but incorrect, public perception that FDA erects regulatory barriers that block patients from getting investigational new drugs (INDs).",Barrier,Barrier/Building
"If the government does not fight poverty, poverty will be the victor at the next elections.",Struggle,Struggle/War
